,Unnamed: 0,address,price,gross_tax,bedrooms,bathrooms,property_type,community,property_views,lot_size,year_built,lot_width,lot_length,age,bungalow,storey,basement,laneway_house,garage,split_entry,latitude,longitude
0,1,3735 Puget Drive,5498800,19041,3,4,house,arbutus,2410.0,6954.0,1987,57.0,57.0,36,0,2,1,0,-1,0,49.253353,-123.1745784
1,2,3229 Trutch Street,6800000,23411,9,10,house,arbutus,547.0,8500.0,2020,45.0,45.0,3,0,2,1,0,0,0,49.257141,-123.1764991
2,3,2127 W 21st Avenue,4360000,15988,7,5,house,arbutus,688.0,6100.0,1989,50.0,50.0,34,0,3,0,0,-1,0,49.2535102,-123.1529908
3,4,2268 W 19th Avenue,6880000,23147,5,8,house,arbutus,617.0,6104.0,2017,50.0,50.0,6,0,2,1,0,0,0,41.5842611,-87.3750054
4,5,3894 Quesnel Drive,5888000,12189,3,4,house,arbutus,325.0,4100.0,1933,44.0,44.0,90,0,3,0,0,0,0,49.2520378,-123.1738438
5,7,2690 W 21st Avenue,4299000,14265,7,6,house,arbutus,1497.0,7320.0,1994,60.0,60.0,29,0,2,1,0,1,0,49.2534479,-123.164708
6,8,4422 Quesnel Drive,8850000,24525,5,7,house,arbutus,2748.0,6435.0,2017,49.0,49.0,6,0,3,1,0,0,0,49.2469901,-123.1683437
7,9,3409 Arbutus Street,2188000,7074,5,2,house,arbutus,1472.0,3363.0,1930,57.0,57.0,93,0,2,0,0,-1,0,49.25601529999999,-123.1532819
8,11,2188 W 21st Avenue,4990000,19073,6,7,house,arbutus,190.0,7137.0,1997,58.0,58.0,26,0,2,1,0,0,0,,
9,12,2285 W 20th Avenue,3999000,17091,6,5,house,arbutus,417.0,6086.0,2004,50.0,50.0,19,0,2,1,0,1,0,49.2546848,-123.1575589
10,13,2811 Oliver Crescent,3888000,11481,9,8,house,arbutus,553.0,5320.0,2018,38.0,38.0,5,0,2,1,1,1,0,49.2493565,-123.1681182
11,14,2236 W 20th Avenue,4680000,15815,6,7,house,arbutus,335.0,6100.0,1996,50.0,50.0,27,0,2,1,0,0,0,49.2542482,-123.156522
12,15,3347 Trutch Street,3190000,10757,3,3,house,arbutus,924.0,5760.0,1952,48.0,48.0,71,1,-1,1,0,0,0,49.256592,-123.1761205
13,16,2376 W 22nd Avenue,4680000,16684,7,5,house,arbutus,467.0,6200.0,2002,51.0,51.0,21,0,2,1,0,-1,1,49.2525971,-123.1529439
14,17,2718 W 19th Avenue,3380000,10097,10,5,house,arbutus,486.0,5124.0,1981,42.0,42.0,42,0,2,0,0,0,0,,
15,18,2638 W 20th Avenue,3880000,12648,6,5,house,arbutus,286.0,6100.0,1989,50.0,50.0,34,0,2,1,0,0,0,49.25435419999999,-123.1639473
16,19,2885 W 20th Avenue,3480000,9246,4,4,house,arbutus,245.0,5004.0,1941,41.0,41.0,82,0,2,1,0,1,0,49.25484609999999,-123.1697331
17,20,2225 W 21st Avenue,5990000,19170,4,7,house,arbutus,361.0,6094.0,2018,50.0,50.0,5,0,2,1,0,-1,0,,
18,21,2398 W 19th Avenue,4288000,12944,7,5,house,arbutus,190.0,,1990,,,33,0,2,1,0,-1,0,,
19,22,2259 W 18th Avenue,4580000,15067,7,5,house,arbutus,336.0,7500.0,1990,50.0,50.0,33,0,2,1,0,-1,0,44.0405303,-123.1270722
20,23,2903 W 21st Avenue,2688000,8356,4,2,house,arbutus,436.0,4026.0,1945,33.0,33.0,78,0,1,0,0,-1,0,,
21,24,2985 W 20th Avenue,5180000,17364,6,6,house,arbutus,706.0,5375.0,2016,44.0,44.0,7,0,2,1,0,1,0,49.2548812,-123.1725233
22,25,2418 W 18th Avenue,3999000,13713,7,5,house,arbutus,678.0,6368.0,1991,52.0,52.0,32,0,2,1,0,-1,0,44.0405625,-123.1311477
