,address,price,gross_tax,bedrooms,bathrooms,property_type,community,lot_size,year_built,lot_width,lot_length,age,bungalow,storey,basement,laneway_house,garage,split_entry
1,3735 Puget Drive,5498800,19041,3,4,house,arbutus,6954,1987,57,57,36,0,2,1,0,-1,0
2,3229 Trutch Street,6800000,23411,9,10,house,arbutus,8500,2020,45,45,3,0,2,1,0,0,0
3,2127 W 21st Avenue,4360000,15988,7,5,house,arbutus,6100,1989,50,50,34,0,3,0,0,-1,0
4,2268 W 19th Avenue,6880000,23147,5,8,house,arbutus,6104,2017,50,50,6,0,2,1,0,0,0
5,3894 Quesnel Drive,5888000,12189,3,4,house,arbutus,4100,1933,44,44,90,0,3,0,0,0,0
7,2690 W 21st Avenue,4299000,14265,7,6,house,arbutus,7320,1994,60,60,29,0,2,1,0,1,0
8,4422 Quesnel Drive,8850000,24525,5,7,house,arbutus,6435,2017,49,49,6,0,3,1,0,0,0
9,3409 Arbutus Street,2188000,7074,5,2,house,arbutus,3363,1930,57,57,93,0,2,0,0,-1,0
11,2188 W 21st Avenue,4990000,19073,6,7,house,arbutus,7137,1997,58,58,26,0,2,1,0,0,0
12,2285 W 20th Avenue,3999000,17091,6,5,house,arbutus,6086,2004,50,50,19,0,2,1,0,1,0
13,2811 Oliver Crescent,3888000,11481,9,8,house,arbutus,5320,2018,38,38,5,0,2,1,1,1,0
14,2236 W 20th Avenue,4680000,15815,6,7,house,arbutus,6100,1996,50,50,27,0,2,1,0,0,0
15,3347 Trutch Street,3190000,10757,3,3,house,arbutus,5760,1952,48,48,71,1,-1,1,0,0,0
16,2376 W 22nd Avenue,4680000,16684,7,5,house,arbutus,6200,2002,51,51,21,0,2,1,0,-1,1
17,2718 W 19th Avenue,3380000,10097,10,5,house,arbutus,5124,1981,42,42,42,0,2,0,0,0,0
18,2638 W 20th Avenue,3880000,12648,6,5,house,arbutus,6100,1989,50,50,34,0,2,1,0,0,0
19,2885 W 20th Avenue,3480000,9246,4,4,house,arbutus,5004,1941,41,41,82,0,2,1,0,1,0
20,2225 W 21st Avenue,5990000,19170,4,7,house,arbutus,6094,2018,50,50,5,0,2,1,0,-1,0
21,2398 W 19th Avenue,4288000,12944,7,5,house,arbutus,,1990,,,33,0,2,1,0,-1,0
22,2259 W 18th Avenue,4580000,15067,7,5,house,arbutus,7500,1990,50,50,33,0,2,1,0,-1,0
23,2903 W 21st Avenue,2688000,8356,4,2,house,arbutus,4026,1945,33,33,78,0,1,0,0,-1,0
24,2985 W 20th Avenue,5180000,17364,6,6,house,arbutus,5375,2016,44,44,7,0,2,1,0,1,0
25,2418 W 18th Avenue,3999000,13713,7,5,house,arbutus,6368,1991,52,52,32,0,2,1,0,-1,0
26,2402 W 19th Avenue,4560000,11401,5,5,house,arbutus,6100,1998,50,50,25,0,2,1,0,-1,0
49,2127 W 21st Avenue,4360000,17480,7,5,house,arbutus,6100,1989,50,50,34,0,3,0,0,-1,0
54,1938 W 36th Avenue,4288000,15440,6,5,house,quilchena,6000,1987,50,50,36,0,2,1,0,0,0
57,4723 Puget Drive,6980000,20641,7,8,house,quilchena,8126,1994,66,66,29,0,2,1,0,0,0
65,4526 Haggart Street,5688000,21455,5,6,house,quilchena,6843,2010,57,57,13,0,2,1,0,-1,0
74,4555 Magnolia Street,3788000,12123,5,3,house,quilchena,6366,1965,60,60,58,0,2,0,0,0,0
75,2288 W 35th Avenue,7990000,30869,6,8,house,quilchena,8844,2019,66,66,4,0,2,1,0,0,0
91,1712 Cedar Crescent,12880000,36805,5,4,house,shaughnessy,23522,1909,164,164,114,0,2,1,0,0,0
93,1438 W 32nd Avenue,16988000,114096,6,10,house,shaughnessy,15632,2020,101,101,3,0,3,0,0,0,0
101,4388 Osler Street,7380000,33362,6,7,house,shaughnessy,7200,2017,60,60,6,0,2,1,0,1,0
103,1461 Connaught Drive,16880000,68105,6,8,house,shaughnessy,14471,2007,99,99,16,0,2,1,0,0,0
104,1318 Minto Crescent,24800000,88202,5,9,house,shaughnessy,26582,2012,149,149,11,0,2,1,0,0,0
106,1188 Wolfe Avenue,13880000,45946,9,10,house,shaughnessy,33800,1911,135,135,112,0,3,1,0,0,0
107,5588 Churchill Street,10880000,35001,7,5,house,shaughnessy,19420,1928,123,123,95,0,2,1,0,0,0
111,3402 Osler Street,21990000,104920,6,9,house,shaughnessy,23630,2002,103,103,21,0,2,1,0,1,0
120,4468 Pine Crescent,6980000,29680,6,6,house,shaughnessy,8348,2008,70,70,15,0,2,1,0,1,0
125,1428 Devonshire Crescent,18000000,72769,5,7,house,shaughnessy,14390,2009,102,102,14,0,2,1,0,1,0
182,5887 Adera Street,10880000,38969,5,7,house,south granville,9502,2017,75,75,6,0,2,1,0,0,0
190,6823 Marguerite Street,5399000,22483,7,8,house,south granville,9498,1997,66,66,26,0,2,1,0,1,0
191,1029 W 57th Avenue,4500000,12036,6,5,house,south granville,7500,1987,60,60,36,0,2,1,0,0,0
192,1188 W 55th Avenue,28880000,113602,8,12,house,south granville,,1996,222,222,27,0,2,1,0,0,0
194,1328 W 57th Avenue,6988000,13171,6,8,house,south granville,11075,1989,72,72,34,0,2,1,0,0,0
212,5611 Highbury Street,5688000,22238,5,6,house,southlands,7920,2020,66,66,3,0,2,1,0,1,0
217,5880 Crown Street,2688000,8743,4,5,house,southlands,4538,2004,54,54,19,0,3,0,0,0,0
218,3508 SW Marine Drive,3160000,9924,6,4,house,southlands,12255,1956,106,106,67,0,3,0,0,1,0
225,6052 Collingwood Place,4500000,17006,4,3,house,southlands,11580,1955,105,105,68,0,2,0,0,-1,0
229,3636 SW Marine Drive,2999888,9694,7,7,house,southlands,,1940,,,83,0,2,1,0,-1,0
233,8328 Tugboat Place,2788800,5902,3,3,house,southlands,4804,1988,48,48,35,0,2,0,0,1,0
245,1816 W 62nd Avenue,2799000,9581,4,2,house,southwest marine,6604,1926,50,50,97,0,1,0,0,-1,0
247,8089 Laburnum Street,4998000,18510,7,7,house,southwest marine,10050,1992,75,75,31,0,2,1,0,1,0
249,1967 W 57th Avenue,4988000,18082,6,4,house,southwest marine,10710,1926,70,70,97,0,2,1,0,0,0
251,2709 W 49th Avenue,8490000,33712,5,8,house,southwest marine,22695,1996,89,89,27,0,2,1,0,1,0
252,1722 W 68th Avenue,2790000,9150,5,2,house,southwest marine,6000,1951,50,50,72,0,2,0,0,-1,0
253,6718 Marine Crescent,14880000,48978,7,8,house,southwest marine,17608,1999,100,100,24,0,2,1,0,1,0
255,6688 Balsam Street,2780000,8968,5,3,house,southwest marine,4440,1987,37,37,36,0,2,0,0,1,0
258,1558 W 64th Avenue,2880000,8275,5,4,house,southwest marine,4030,1997,33,33,26,0,2,1,0,1,0
266,6661 Yew Street,2599000,7886,4,4,house,southwest marine,3460,1995,34,34,28,0,3,0,0,0,0
269,8415 Wiltshire Street,8280000,35760,7,9,house,southwest marine,13943,2015,73,73,8,0,2,1,0,1,0
270,8295 Angus Drive,3188000,10919,5,3,house,southwest marine,10049,1950,92,92,73,0,2,1,0,0,0
279,4177 Staulo Crescent,1628888,9284,3,3,house,university (ubc),9980,1974,80,80,49,1,2,1,0,-1,0
286,4769 W 7th Avenue,5088000,16793,5,5,house,university (ubc),6035,2020,67,67,3,0,2,1,0,1,0
287,5771 Newton Wynd,16800000,80635,7,8,house,university (ubc),,1997,,,26,0,2,1,0,0,0
291,5550 Kingston Road,14880000,62911,6,8,house,university (ubc),21177,1991,108,108,32,0,2,1,0,0,0
299,4785 W 6th Avenue,9880000,50662,4,4,house,university (ubc),25388,2018,100,100,5,0,2,0,0,0,0
