2302 4360 Beresford Street,"$1,499,900","$3,939",$848,3,2,apt/condo,,freehold strata,"1 storey,corner unit",geothermal,"elevator, garden","bike room, central air conditioning, exercise room, hot tub, recreation nearby, shopping nearby","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher, wine cooler",metrotown,22 days,751,r2763317,rebgv,,,built in 2017 (6 yrs old),,0
7958 Goodlad Street,"$1,588,000","$3,838",$0,6,3,duplex,,freehold strata,"2 storey,2 storey w/bsmt.","forced air,natural gas",cul-de-sac,shopping nearby,"clothes washer/dryer, dishwasher, in suite laundry, refrigerator, stove, washer/dryer/fridge/stove/dishwasher",burnaby lake,23 days,2620,r2762676,rebgv,66.00 feet,66 ft x 207 ft (13662 ft²),built in 1968 (55 yrs old),207,0
6963 Nelson Avenue,"$1,868,000","$4,947",$0,4,3,duplex,,freehold strata,2 storey,"natural gas,radiant",,"recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,metrotown,1 day,,r2769479,rebgv,75.00 feet,75 ft x 165 ft (12375 ft²),built in 2003 (20 yrs old),165,1
35 6588 Southoaks Crescent,"$689,000","$1,599",$246,2,2,townhouse,,freehold strata,1 storey,electric,,"recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",highgate,1 day,,r2769402,rebgv,,,built in 1997 (26 yrs old),,0
3 3231 Noel Drive,"$799,800","$2,019",$258,2,2,townhouse,,freehold strata,"1 storey,inside unit","baseboard,electric","drapes/window coverings, elevator","exercise room, recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",sullivan heights,1 day,,r2769095,rebgv,,,built in 2017 (6 yrs old),,0
302 5932 Patterson Avenue,"$589,000","$1,479",$425,2,1,apt/condo,,freehold strata,1 storey,baseboard,,recreation nearby,"dishwasher, refrigerator, stove",central park,1 day,,r2769211,rebgv,,,built in 1980 (43 yrs old),,0
7390 Hawthorne Terrace,"$999,900","$2,818",$524,4,2,townhouse,,freehold strata,3 storey w/bsmt.,"baseboard,electric",drapes/window coverings,"recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,highgate,1 day,,r2769266,rebgv,,,built in 2001 (22 yrs old),,0
3336 Ganymede Drive,"$839,900","$1,690",$275,3,2,townhouse,,freehold strata,2 storey w/bsmt.,electric,garden,,washer/dryer/fridge/stove/dishwasher,simon fraser hills,1 day,,r2769118,rebgv,,,built in 1971 (52 yrs old),,0
134 9061 Horne Street,"$899,900","$2,213",$379,3,1,townhouse,,freehold nonstrata,2 storey w/bsmt.,"forced air,natural gas",storage shed,"golf course nearby, recreation nearby, sauna, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",government road,1 day,,r2769121,rebgv,,,built in 1975 (48 yrs old),,2
347 5355 Lane Street,"$918,000","$2,142",$404,3,2,apt/condo,,freehold strata,corner unit,"baseboard,electric","smoke alarm, sprinkler - fire","recreation nearby, shopping nearby, wheelchair access","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",metrotown,1 day,,r2769047,rebgv,,,built in 2021 (2 yrs old),,0
5055 Georgia Street,"$2,450,000","$5,570",,7,4,house,,freehold nonstrata,2 storey,"baseboard,forced air,natural gas",,"golf course nearby, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,capitol hill,2 days,25,r2768815,rebgv,66.00 feet,66 ft x 122 ft (8052 ft²),built in 1966 (57 yrs old),122,0
406 4465 Juneau Street,"$635,000","$1,704",$366,1,1,apt/condo,,freehold strata,upper unit,electric,"elevator, garden","air conditioning, central air conditioning, recreation nearby, shopping nearby","clothes washer/dryer, dishwasher, in suite laundry, refrigerator, stove",brentwood park,2 days,36,r2768994,rebgv,,,built in 2020 (3 yrs old),,0
6166 Aubrey Street,"$2,090,000","$5,693",,6,2,house,,freehold nonstrata,2 storey,"electric,forced air",,"golf course nearby, recreation nearby",washer/dryer/fridge/stove/dishwasher,parkcrest,2 days,55,r2768866,rebgv,60.00 feet,60 ft x 122 ft (7320 ft²),built in 1967 (56 yrs old),122,1
7406 Imperial Street,"$1,749,000","$4,639",,5,3,house,,freehold nonstrata,2 storey,radiant,,"community meals, recreation nearby, shopping nearby","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",highgate,2 days,32,r2768950,rebgv,95.00 feet,95 ft x 70 ft (6650 ft²),built in 1955 (68 yrs old),70,1
