address,price,gross_tax,strata_maintenance_fees,bedrooms,bathrooms,property_type,property_age,title,heating_type,feature,amenities,appliances,community,days_on_rew,property_views,mls®_number,source,frontage,lot_size,year_built,depth,half_bathrooms,lot_width,lot_length,age,bungalow,storey,basement,laneway_house,garage,split_entry
1106 Grover Avenue,3488000,4504,,7.0,7.0,house,,freehold nonstrata,heat pump,"garage door opener, oven - built in","air conditioning, golf course nearby, recreation nearby, shopping nearby","microwave, washer/dryer/fridge/stove/dishwasher, wine cooler",central coquitlam,8 days,642.0,r2766859,rebgv,63.00 feet,7875,2023,125,2.0,63,63,0.0,0,2,1,0,1,0
1241 Oxbow Way,1100000,3316,$135,3.0,3.0,house,,freehold strata,"forced air,natural gas",,club house,washer/dryer/fridge/stove/dishwasher,river springs,1 day,,r2769641,rebgv,0.00 feet,,1980,,0.0,,,43.0,0,2,0,0,-1,0
1414 Gabriola Drive,1450000,3867,,4.0,2.0,house,,freehold nonstrata,"forced air,heat pump",storage shed,"air conditioning, central air conditioning, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,new horizons,2 days,116.0,r2769226,rebgv,0.00 feet,,1982,,0.0,,,41.0,0,2,0,0,0,1
3200 Toba Drive,1379000,3789,,4.0,2.0,house,,freehold nonstrata,"forced air,natural gas",drapes/window coverings,"golf course nearby, recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",new horizons,2 days,202.0,r2769078,rebgv,0.00 feet,,1981,,1.0,,,42.0,0,2,0,0,0,0
1709 Regan Avenue,2099900,5129,,6.0,2.0,house,,freehold nonstrata,forced air,,,washer/dryer/fridge/stove/dishwasher,central coquitlam,2 days,97.0,r2768978,rebgv,72.00 feet,9648,1959,134,0.0,72,72,64.0,0,2,0,0,-1,0
1744 Brunette Avenue,1800000,3750,,5.0,2.0,house,,freehold nonstrata,,,,,central coquitlam,2 days,37.0,r2768569,rebgv,122.00 feet,8091,1956,66,0.0,122,122,67.0,0,1,0,0,-1,0
2138 Braeside Place,3088000,9002,$0,5.0,5.0,house,,freehold nonstrata,radiant,"garage door opener, hot tub spa/swirlpool, pantry, security system, smoke alarm, storage shed, wet bar",,"microwave, range top, washer/dryer/fridge/stove/dishwasher",westwood plateau,3 days,3465.0,r2768657,rebgv,32.00 feet,,2001,,1.0,,,22.0,0,2,1,0,1,0
2362 Austin Avenue,2698800,7851,,8.0,8.0,house,,freehold nonstrata,radiant,"drapes/window coverings, fireplace insert, oven - built in, security system, smoke alarm, vacuum - built in, wet bar",air conditioning,"microwave, washer/dryer/fridge/stove/dishwasher",central coquitlam,6 days,357.0,r2768037,rebgv,0.00 feet,,2021,,0.0,,,2.0,0,3,1,0,0,0
1308 Sherman Street,1575000,3962,,4.0,3.0,house,,freehold nonstrata,forced air,"drapes/window coverings, storage shed","shopping nearby, storage","microwave, washer/dryer/fridge/stove/dishwasher",canyon springs,16 days,2241.0,r2765035,rebgv,0.00 feet,4036,1987,0,0.0,0,0,36.0,0,2,0,0,0,0
808 Macintosh Street,2998000,4129,,7.0,6.0,house,,freehold nonstrata,"natural gas,radiant",,air conditioning,washer/dryer/fridge/stove/dishwasher,harbour chines,30 days,1471.0,r2761016,rebgv,68.00 feet,8568,2024,126,1.0,68,68,-1.0,0,2,1,0,-1,0
470 Riverview Crescent,1888888,4935,,5.0,2.0,house,,freehold nonstrata,forced air,,,washer/dryer/fridge/stove/dishwasher,coquitlam east,7 days,577.0,r2767152,rebgv,57.00 feet,6997,1992,122,1.0,57,57,31.0,0,2,1,0,-1,0
1730 Bowman Avenue,3248000,4851,,7.0,6.0,house,,freehold nonstrata,"natural gas,radiant","drapes/window coverings, garage door opener, oven - built in, security system, smoke alarm, vacuum - built in, wet bar","air conditioning, central air conditioning","microwave, washer/dryer/fridge/stove/dishwasher",harbour place,7 days,254.0,r2767577,rebgv,70.00 feet,,2022,,1.0,,,1.0,0,2,1,0,1,0
2931 Tatla Place,1699800,3757,,4.0,3.0,house,,freehold nonstrata,"forced air,natural gas",,"recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,coquitlam east,7 days,771.0,r2767402,rebgv,68.57 feet,6006,1983,132xirr,0.0,68,68,40.0,0,2,0,0,-1,0
3353 Palisade Place,2100000,5568,,4.0,3.0,house,,freehold nonstrata,"forced air,natural gas","cul-de-sac, fireplace insert, garage door opener","recreation nearby, shopping nearby","disposal - waste, in suite laundry, refrigerator, stove, washer/dryer/fridge/stove/dishwasher",burke mountain,8 days,556.0,r2767323,rebgv,0.00 feet,4306,2009,0,1.0,0,0,14.0,0,2,1,0,1,0
134 Croteau Court,1590000,4207,,4.0,2.0,house,,freehold nonstrata,,,,,cape horn,8 days,400.0,r2767296,rebgv,49.00 feet,8051,1983,179,0.0,49,49,40.0,0,4,0,0,-1,0
1472 Copper Beech Place,2450000,7134,,7.0,5.0,house,,freehold nonstrata,"baseboard,forced air,natural gas",,"air conditioning, recreation nearby, shopping nearby","clothes washer/dryer, dishwasher, in suite laundry, microwave, refrigerator, stove, washer/dryer/fridge/stove/dishwasher",burke mountain,8 days,333.0,r2767211,rebgv,0.00 feet,,2015,,1.0,,,8.0,0,2,1,0,-1,0
1184 Shelter Crescent,1499000,3985,,5.0,3.0,house,,freehold nonstrata,forced air,storage shed,shopping nearby,washer/dryer/fridge/stove/dishwasher,new horizons,8 days,1266.0,r2767093,rebgv,41.00 feet,4165,1981,101.59,0.0,41,41,42.0,0,-1,0,0,0,0
