250 Hartman Road,"$899,000",,,5,4,duplex,,freehold,,forced air,,,,rutland,2 days,52,10272224,canadian real estate association,,,built in 2022 (1 yrs old),,1
463/465 McCurdy Road,"$825,000",,,4,2,duplex,,freehold,,,,,,rutland,7 days,71,10271936,canadian real estate association,,,,,0
5717 Mountainside Drive,"$3,299,000",,,8,4,house,,freehold,,"forced air, heat pump",,,,southwest mission,8 days,81,10271556,canadian real estate association,,,built in 2018 (5 yrs old),,1
#108 1455 Cara Glen Court,"$829,900",,"$0
monthly",3,2,townhouse,,condominium/strata,,,,,,glenmore - clifton - dilworth,8 days,73,10271841,canadian real estate association,,,built in 2023 (0 yrs old),,1
7110 Westside Road,"$725,000",,,3,2,house,,freehold,,baseboard heaters,,,,,9 days,218,10271818,canadian real estate association,,,built in 2011 (12 yrs old),,0
#109 1455 Cara Glen Court,"$679,900",,"$0
monthly",2,2,townhouse,,condominium/strata,,forced air,,,,glenmore - clifton - dilworth,14 days,169,10271479,canadian real estate association,,,built in 2023 (0 yrs old),,1
435 Redtail Court,"$1,199,000",,,0,,land/lot,,freehold,,,,,,southwest mission,15 days,137,10271461,canadian real estate association,,,,,
4885 N Highway 97,"$19,988,000",,,0,,land/lot,,,,,,,,highway 97,19 days,36,c8050534,canadian real estate association,,,,,
721 Fairbridge Street,"$619,000",,,3,2,house,,freehold,,,,,,,20 days,764,10271134,canadian real estate association,,,built in 2017 (6 yrs old),,0
7833 Briarwood Road,"$299,900",,,0,,land/lot,,freehold,,,,,,,20 days,282,10271139,canadian real estate association,,,,,
#217 883 Academy Way,"$490,000",,"$495
monthly",2,2,apt/condo,,condominium/strata,,baseboard heaters,,,,highway 97,23 days,326,10270131,canadian real estate association,,,built in 2016 (7 yrs old),,0
#110 575 Sutherland Avenue,"$267,900",,"$332
monthly",2,1,apt/condo,,condominium/strata,,baseboard heaters,,,,central city,27 days,587,10270785,canadian real estate association,,,built in 1986 (37 yrs old),,1
#467 6995 Terazona Drive,"$164,000",,"$404
monthly",0,,land/lot,,freehold,,,,,,,40 days,358,10270081,canadian real estate association,,,,,
#457 6935 Terazona Drive,"$869,000",,"$404
monthly",3,2,house,,freehold,,forced air,,,,,47 days,604,10269735,canadian real estate association,,,built in 2019 (4 yrs old),,0
5157 Whitetail Drive,"$889,000",,,0,,land/lot,,freehold,,,,,,,54 days,127,10268903,canadian real estate association,,,,,
490 Hawk Hill Drive,"$899,800",,,0,,land/lot,,freehold,,,,,,southwest mission,56 days,65,10269197,canadian real estate association,,,,,
1928 Northern Flicker Court,"$1,399,000",,,5,3,house,,freehold,,"forced air, in floor heating",,,,mckinley,57 days,738,10269123,canadian real estate association,,,built in 2022 (1 yrs old),,0
#301 1151 Sunset Drive,"$775,000",,"$546
monthly",2,2,apt/condo,,condominium/strata,,forced air,,,,central city,75 days,498,10268055,canadian real estate association,,,built in 2019 (4 yrs old),,1
#405 6946 Terazona Drive,"$315,000",,"$404
monthly",0,,land/lot,,freehold,,,,,,,84 days,204,10267999,canadian real estate association,,,,,
3165 Hilltown Drive,"$535,000",,,0,,land/lot,,freehold,,,,,,mckinley,92 days,306,10266726,canadian real estate association,,,,,
1910 Gallagher Court,"$900,000",,,3,2,house,,freehold,,forced air,,,,belgo - black mountain,92 days,1449,10266709,canadian real estate association,,,built in 1985 (38 yrs old),,0
900 Maygard Road,"$1,175,000",,,7,4,house,,freehold,,forced air,,,,rutland,100 days,534,10266388,canadian real estate association,,,built in 2022 (1 yrs old),,0
#41 7015 Barcelona Drive,"$169,900",,"$404
monthly",0,,land/lot,,freehold,,,,,,,197 days,1001,10263339,canadian real estate association,,,,,
