12473 266 Street,"$3,099,000","$9,202",,5,3,house,,freehold nonstrata,2 storey w/bsmt.,"forced air,heat pump","hot tub spa/swirlpool, pantry, security system, sprinkler - fire, sprinkler - inground, vacuum - built in","air conditioning, swimming pool equipment","freezer, washer/dryer/fridge/stove/dishwasher",northeast maple ridge,36 days,1600,r2760158,rebgv,0.00 feet,43560 ft²,built in 2011 (12 yrs old),,1
3 22466 North Avenue,"$769,000","$3,019",$379,4,3,townhouse,,freehold strata,2 storey w/bsmt.,"hot water,natural gas","cul-de-sac, garage door opener, security system, vacuum - roughed in, windows - thermo","recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",east central maple ridge,64 days,4345,r2753123,rebgv,,,built in 2005 (18 yrs old),,1
83 23085 118 Avenue,"$878,000","$3,543",$416,3,2,apt/condo,,freehold strata,"2 storey w/bsmt.,corner unit","baseboard,electric","drapes/window coverings, garage door opener, hot tub spa/swirlpool",recreation nearby,"freezer, washer/dryer/fridge/stove/dishwasher",east central maple ridge,1 day,,r2769731,rebgv,,,built in 1999 (24 yrs old),,1
126 24076 112 Avenue,"$909,888","$3,459",$320,3,3,townhouse,,freehold strata,"3 storey,corner unit","baseboard,electric",garden,,,cottonwood,16 days,806,r2765236,rebgv,,,built in 2021 (2 yrs old),,1
164 11305 240 Street,"$798,795","$3,268",,3,2,townhouse,,freehold nonstrata,3 storey,electric,,"recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",cottonwood,1 day,,r2769751,rebgv,,,built in 2017 (6 yrs old),,1
13213 216 Street,"$9,280,000","$19,944",,0,,land/lot,,freehold nonstrata,,,,,,north maple ridge,153 days,358,r2738879,rebgv,,108.87 acres,,,
12147 Rothsay Street,"$1,395,000","$4,682",,3,2,house,,freehold nonstrata,rancher/bungalow,"hot water,natural gas,wood","drapes/window coverings, garage door opener, smoke alarm","recreation nearby, workshop attached","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher, wine cooler",northeast maple ridge,7 days,3129,r2766111,rebgv,127.70 feet,127 ft x 349 ft (0 ft²),built in 1972 (51 yrs old),349.3,0
24461 Jenewein Drive,"$2,149,000",,,5,4,house,,freehold,,"baseboard heaters, forced air",,,,cottonwood,1 day,,r2769606,canadian real estate association,48 ft,,built in 2024 (-1 yrs old),,
25689 Dewdney Trunk Road,"$1,299,800","$3,954",,3,3,house,,freehold nonstrata,2 storey,"forced air,natural gas",garden,"storage, workshop detached",,websters corners,55 days,765,r2755283,rebgv,0.00 feet,0 ft x 0 ft (2.0 acres),built in 1910 (113 yrs old),0,0
24445 Jenewein Drive,"$1,998,000",,,6,5,house,,freehold,,"baseboard heaters, forced air",,,,cottonwood,1 day,,r2769470,canadian real estate association,"45 ft ,9 in",,built in 2024 (-1 yrs old),,
11968 216th Street,"$1,649,000","$4,751",,3,2,house,,freehold nonstrata,rancher/bungalow,"electric,natural gas",storage shed,"recreation nearby, shopping nearby","clothes washer/dryer, washer/dryer/fridge/stove/dishwasher",west central maple ridge,55 days,139,r2753956,rebgv,90.00 feet,90 ft x 130 ft (11700 ft²),built in 1972 (51 yrs old),130,0
24680 100a Avenue,"$1,499,000","$6,705",,7,4,house,,freehold nonstrata,2 storey w/bsmt.,"forced air,natural gas",vacuum - built in,"air conditioning, golf course nearby, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,albion,1 day,,r2769464,rebgv,46.00 feet,46 ft x 91 ft (4188 ft²),built in 2016 (7 yrs old),91,1
75 11737 236 Street,"$798,000","$4,195",$544,4,2,townhouse,,freehold strata,3 storey,natural gas,,shopping nearby,washer/dryer/fridge/stove/dishwasher,cottonwood,55 days,1359,r2754955,rebgv,,,built in 1994 (29 yrs old),,1
11655 Burnett Street,"$2,300,000","$12,484",,0,,land/lot,,freehold nonstrata,,,,,,east central maple ridge,191 days,257,r2730919,rebgv,,25123 ft²,,,
20133 119a Avenue,"$1,099,000","$5,094",,3,2,house,,freehold nonstrata,rancher/bungalow,"forced air,natural gas",storage shed,"recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",southwest maple ridge,2 days,72,r2769445,rebgv,49.00 feet,49 ft x 125 ft (6140 ft²),built in 1987 (36 yrs old),125,0
12142 223 Street,"$974,900","$4,614",,2,1,house,,freehold nonstrata,"1 storey,rancher/bungalow",baseboard,,"golf course nearby, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,west central maple ridge,56 days,446,r2755110,rebgv,0.00 feet,7332 ft²,built in 1955 (68 yrs old),,0
