Th8 125 Columbia Street,"$899,000","$3,552",$581,3,2,townhouse,,freehold strata,3 storey,"baseboard,electric",elevator,"bike room, shopping nearby",in suite laundry,downtown new west,9 days,1591,r2766822,rebgv,,,built in 2014 (9 yrs old),,0
18 385 Ginger Drive,"$469,000","$1,483",$362,1,1,apt/condo,,freehold strata,corner unit,"baseboard,electric",elevator,"recreation nearby, shared laundry, shopping nearby","dishwasher, refrigerator, stove",fraserview,16 days,582,r2764739,rebgv,,,built in 1986 (37 yrs old),,0
212 Fourth Avenue,"$3,195,000","$8,723",,4,4,house,,freehold nonstrata,2 storey w/bsmt.,"natural gas,radiant","garage door opener, other - see remarks, pantry, security system, storage shed","air conditioning, recreation nearby, shopping nearby","dishwasher, microwave, washer/dryer/fridge/stove/dishwasher, wine cooler",queen's park,8 days,1099,r2767561,rebgv,57.00 feet,57 ft x 165 ft (9405 ft²),built in 1931 (92 yrs old),165,0
612 Second Street,"$2,172,000",$1,,5,3,house,,freehold nonstrata,2 storey w/bsmt.,heat pump,"fireplace insert, garage door opener, smoke alarm, windows - thermo","air conditioning, golf course nearby, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,glenbrooke north,71 days,6271,r2752172,rebgv,37.00 feet,37 ft x 110 ft (4070 ft²),built in 2022 (1 yrs old),110,1
1201 121 Tenth Street,"$795,000","$2,024",$456,2,1,apt/condo,,freehold strata,"inside unit,upper unit","baseboard,electric",elevator,"bike room, exercise room, recreation nearby, sauna, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",uptown,16 days,470,r2764752,rebgv,,,built in 1990 (33 yrs old),,0
1706 1065 Quayside Drive,"$799,900","$2,828",$702,2,2,apt/condo,,freehold strata,"corner unit,upper unit",electric,,"exercise room, hot tub, recreation nearby, sauna, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",new westminster quay,1 day,,r2769510,rebgv,,,built in 1988 (35 yrs old),,0
Th8 125 Columbia Street,"$899,000","$3,552",$581,3,2,townhouse,,freehold strata,3 storey,"baseboard,electric",elevator,"bike room, shopping nearby",in suite laundry,downtown new west,9 days,1591,r2766822,rebgv,,,built in 2014 (9 yrs old),,0
2002 813 Carnarvon Street,"$928,800",$0,$387,2,2,apt/condo,,freehold strata,"corner unit,upper unit",heat pump,elevator,"central air conditioning, exercise room, hot tub, recreation nearby, shopping nearby, wheelchair access",,downtown new west,189 days,224,r2731084,rebgv,,,built in 2023 (0 yrs old),,0
1816 Nanaimo Street,"$2,999,000","$7,737",,10,7,house,,freehold nonstrata,"2 storey w/bsmt.,carriage/coach house","forced air,hot water",smoke alarm,recreation nearby,washer/dryer/fridge/stove/dishwasher,west end,1 day,19,r2769454,rebgv,60.40 feet,6826 ft²,built in 2021 (2 yrs old),,1
107 232 Sixth Street,"$649,900",$0,$246,2,2,apt/condo,,freehold strata,"corner unit,ground level unit",electric,elevator,"shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",uptown,41 days,497,r2758686,rebgv,,,built in 2023 (0 yrs old),,0
3102 813 Carnarvon Street,"$1,385,800",$0,$387,3,2,apt/condo,,freehold strata,"corner unit,penthouse,upper unit",heat pump,elevator,"central air conditioning, exercise room, hot tub, wheelchair access",,downtown new west,189 days,353,r2731093,rebgv,,,built in 2023 (0 yrs old),,0
723 Fourth Street,"$1,700,000","$6,137",,5,1,house,,freehold nonstrata,1 1/2 storey,,,,,glenbrooke north,42 days,5081,r2759212,rebgv,53.00 feet,53 ft x 132 ft (6996 ft²),built in 1908 (115 yrs old),132,1
3101 813 Carnarvon Street,"$1,373,800",$0,$387,3,2,apt/condo,,freehold strata,"corner unit,penthouse,upper unit",heat pump,elevator,"central air conditioning, exercise room, hot tub, wheelchair access",,downtown new west,189 days,429,r2731088,rebgv,,,built in 2023 (0 yrs old),,0
306 258 Nelson's Court,"$535,000","$1,895",$316,1,1,apt/condo,,freehold strata,1 storey,"baseboard,electric","elevator, garden, sprinkler - fire","bike room, exercise room, storage, wheelchair access","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",sapperton,2 days,74,r2769146,rebgv,,,built in 2020 (3 yrs old),,0
1606 Sixth Avenue,"$1,300,000","$4,742",,4,2,house,,freehold nonstrata,rancher/bungalow w/bsmt.,forced air,,shopping nearby,"in suite laundry, washer/dryer/fridge/stove/dishwasher",uptown,42 days,1545,r2758387,rebgv,50.00 feet,50 ft x 100 ft (5000 ft²),built in 1946 (77 yrs old),100,0
1703 1045 Quayside Drive,"$799,900","$2,786",$495,2,2,apt/condo,,freehold strata,"1 storey,penthouse",electric,elevator,"exercise room, storage",in suite laundry,new westminster quay,230 days,3391,r2720467,rebgv,,,built in 1988 (35 yrs old),,0
