408 1675 Lions Gate Lane,"$789,900",$0,$446,1,1,apt/condo,,freehold strata,1 storey,forced air,elevator,"central air conditioning, exercise room, sauna, storage",in suite laundry,pemberton,10 days,109,r2766295,rebgv,,,built in 2022 (1 yrs old),,0
2111 Badger Road,"$2,598,000","$8,701",,4,3,house,,freehold nonstrata,"2 storey,basement entry","forced air,natural gas","drapes/window coverings, garden","marina nearby, recreation nearby, shopping nearby, storage","dishwasher, in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",deep cove,4 days,2861,r2768669,rebgv,36.40 feet,7794 ft²,built in 1951 (72 yrs old),,0
2048 Banbury Road,"$3,299,000","$10,486",,5,3,house,,freehold nonstrata,2 storey w/bsmt.,,,,,deep cove,1 day,,r2769839,rebgv,50.00 feet,50 ft x 120 ft (6000 ft²),built in 2003 (20 yrs old),120,1
342 W 19th Street,"$2,878,000","$7,653",,5,5,house,,freehold nonstrata,3 storey w/bsmt,"heat pump,hot water,radiant",,"central air conditioning, recreation nearby, shopping nearby",in suite laundry,central lonsdale,1 day,,r2769799,rebgv,33.00 feet,33 ft x 140 ft (4620 ft²),built in 2019 (4 yrs old),140,2
5446 Cliffridge Avenue,"$2,820,000","$8,447",,5,3,house,,freehold nonstrata,2 storey w/bsmt.,"forced air,hot water,natural gas","garden, hot tub spa/swirlpool","green house, hot tub, storage, workshop attached",,canyon heights,1 day,,r2769734,rebgv,80.00 feet,80 ft x 120 ft (7254 ft²),built in 1975 (48 yrs old),120.4,1
607 108 E 8th Street,"$945,000","$2,243",$396,1,1,apt/condo,,freehold strata,penthouse,"natural gas,radiant",,"bike room, marina nearby, recreation nearby, shopping nearby, storage",in suite laundry,central lonsdale,1 day,,r2769688,rebgv,,,built in 2021 (2 yrs old),,0
1181 Lillooet Road,"$679,000","$1,766",$470,2,1,apt/condo,,freehold strata,"corner unit,upper unit","forced air,natural gas",garden,"golf course nearby, recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",lynnmour,7 days,815,r2767685,rebgv,,,built in 1973 (50 yrs old),,1
1258 Coleman Close,"$2,898,000","$8,748",,7,4,house,,freehold nonstrata,3 storey w/bsmt,"electric,hot water,radiant",cul-de-sac,"recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,lynn valley,1 day,,r2769695,rebgv,0.00 feet,9347 ft²,built in 1991 (32 yrs old),,2
2020 & 2036 Larson Road,"$3,999,000","$8,971",,11,6,house,,freehold nonstrata,rancher/bungalow w/bsmt.,,,,,central lonsdale,76 days,1037,r2750453,rebgv,116.00 feet,116 ft x 123 ft (14231 ft²),built in 1956 (67 yrs old),123,0
4225 Cliffmont Road,"$2,275,000","$6,975",,4,3,house,,freehold nonstrata,2 storey,"baseboard,forced air,natural gas,wood",,"golf course nearby, marina nearby, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,deep cove,1 day,,r2769533,rebgv,50.60 feet,50 ft x 113 ft (5060 ft²),built in 1954 (69 yrs old),113.25,1
2111 Badger Road,"$2,598,000","$8,701",,4,3,house,,freehold nonstrata,"2 storey,basement entry","forced air,natural gas","drapes/window coverings, garden","marina nearby, recreation nearby, shopping nearby, storage","dishwasher, in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",deep cove,4 days,2861,r2768669,rebgv,36.40 feet,7794 ft²,built in 1951 (72 yrs old),,0
3440 Manning Place,"$1,999,000","$6,524",,4,2,house,,freehold nonstrata,2 storey,"forced air,natural gas",,storage,"in suite laundry, washer/dryer/fridge/stove/dishwasher",roche point,7 days,1667,r2767934,rebgv,39.59 feet,4524 ft²,built in 1986 (37 yrs old),,1
407 118 Carrie Cates Court,"$1,258,000","$2,859",$527,2,2,apt/condo,,freehold strata,"corner unit,end unit","electric,heat pump",elevator,"air conditioning, central air conditioning, exercise room, recreation nearby, shopping nearby, storage","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",lower lonsdale,1 day,,r2769455,rebgv,,,built in 2020 (3 yrs old),,0
Ph-I 630 Roche Point Drive,"$928,000","$3,473",$588,2,2,apt/condo,,leasehold prepaid-nonstrata,penthouse,"electric,natural gas",garden,"bike room, exercise room, marina nearby, recreation nearby, shopping nearby, storage","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",roche point,1 day,,r2769644,rebgv,,,built in 1995 (28 yrs old),,0
1004 1550 Fern Street,"$1,078,888","$3,744",$625,2,2,apt/condo,,freehold strata,corner unit,forced air,"elevator, security system, smoke alarm","air conditioning, central air conditioning, exercise room, hot tub, shopping nearby, storage",washer/dryer/fridge/stove/dishwasher,lynnmour,1 day,,r2769654,rebgv,,,built in 2015 (8 yrs old),,0
4620 Teviot Place,"$2,399,999","$8,444",,4,2,house,,freehold nonstrata,2 storey,"forced air,natural gas",cul-de-sac,"recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",canyon heights,2 days,117,r2769313,rebgv,0.00 feet,0 ft x 0 ft (7291 ft²),built in 1978 (45 yrs old),0,1
2106 680 Seylynn Crescent,"$1,390,000","$4,810",$804,3,2,apt/condo,,freehold strata,other,"forced air,geothermal",elevator,"exercise room, hot tub, recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",lynnmour,35 days,310,r2759956,rebgv,,,built in 2018 (5 yrs old),,0
309 1712 Lonsdale Avenue,"$1,089,900",$0,$550,2,2,apt/condo,,freehold strata,"corner unit,end unit",heat pump,"elevator, oven - built in, smoke alarm, sprinkler - fire","air conditioning, central air conditioning, shopping nearby, storage","clothes washer/dryer, dishwasher, in suite laundry, microwave, range top, refrigerator",central lonsdale,1 day,,r2769610,rebgv,,,built in 2025 (-2 yrs old),,0
1275 Lennox Street,"$2,050,000","$6,498",,4,2,house,,freehold nonstrata,"2 storey,rancher/bungalow w/bsmt.",forced air,garage door opener,"golf course nearby, recreation nearby, shopping nearby","microwave, washer/dryer/fridge/stove/dishwasher",blueridge,2 days,189,r2769282,rebgv,74.07 feet,74 ft x 443 ft (33171 ft²),built in 1952 (71 yrs old),443.50,1
1801 1675 Lions Gate Lane,"$3,199,000",$0,"$1,631",3,3,apt/condo,,freehold strata,corner unit,forced air,"drapes/window coverings, elevator, garage door opener","air conditioning, central air conditioning, exercise room, golf course nearby, hot tub, marina nearby, recreation nearby, shopping nearby","microwave, washer/dryer/fridge/stove/dishwasher",pemberton,36 days,219,r2760153,rebgv,,,built in 2022 (1 yrs old),,1
2391 Windridge Drive,"$2,299,000","$6,743",,4,3,house,,freehold nonstrata,"2 storey,carriage/coach house",,,shopping nearby,,seymour,1 day,,r2769539,rebgv,0.00 feet,10400 ft²,built in 1958 (65 yrs old),,1
309 2620 Fromme Road,"$668,800","$1,730",$558,2,1,apt/condo,,freehold strata,1 storey,"baseboard,hot water",,"bike room, storage",in suite laundry,lynn valley,2 days,152,r2769257,rebgv,,,built in 1974 (49 yrs old),,1
301 857 W 15th Street,"$749,900","$1,731",$586,2,2,apt/condo,,freehold strata,upper unit,"hot water,radiant",elevator,"bike room, recreation nearby, shopping nearby, storage","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",mosquito creek,36 days,696,r2760102,rebgv,,,built in 2013 (10 yrs old),,0
209 3658 Banff Court,"$749,000","$3,020",$432,2,2,apt/condo,,freehold strata,inside unit,"hot water,radiant","drapes/window coverings, elevator, intercom","bike room, recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",northlands,2 days,74,r2769209,rebgv,,,built in 1995 (28 yrs old),,0
410 1712 Lonsdale Avenue,"$679,900",$0,$313,1,1,apt/condo,,freehold strata,"5 plus level,end unit",heat pump,"elevator, oven - built in, smoke alarm, sprinkler - fire","air conditioning, central air conditioning, shopping nearby, storage","clothes washer/dryer, dishwasher, in suite laundry, microwave, range top, refrigerator",central lonsdale,1 day,,r2769580,rebgv,,,built in 2025 (-2 yrs old),,0
302 935 W 16th Street,"$758,000","$2,053",$594,2,2,apt/condo,,freehold strata,upper unit,"baseboard,natural gas","drapes/window coverings, elevator, fireplace insert, garage door opener, sprinkler - fire","recreation nearby, shopping nearby, storage, wheelchair access","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",mosquito creek,36 days,1056,r2760011,rebgv,,,built in 2009 (14 yrs old),,0
801 175 Victory Ship Way,"$838,000","$2,327",$331,1,1,apt/condo,,freehold strata,upper unit,radiant,elevator,"air conditioning, central air conditioning, exercise room, marina nearby, recreation nearby, sauna, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",lower lonsdale,2 days,32,r2769276,rebgv,,,built in 2019 (4 yrs old),,0
312 175 West 1st Street,"$1,050,000","$2,787",$667,2,2,apt/condo,,freehold strata,"1 storey,corner unit","baseboard,hot water,natural gas",elevator,"bike room, marina nearby, recreation nearby, shopping nearby, storage, wheelchair access","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",lower lonsdale,1 day,,r2767155,rebgv,,,built in 2004 (19 yrs old),,0
363 W 28th Street,"$3,998,000","$8,390",,5,4,house,,freehold nonstrata,3 storey,"heat pump,hot water,radiant","drapes/window coverings, hot tub spa/swirlpool, sprinkler - inground, vacuum - built in, wet bar","air conditioning, recreation nearby, shopping nearby","microwave, washer/dryer/fridge/stove/dishwasher",upper lonsdale,37 days,390,r2759547,rebgv,49.50 feet,6039 ft²,built in 2015 (8 yrs old),,2
259 1100 E 29th Street,"$789,900","$3,178",$443,2,1,apt/condo,,freehold strata,inside unit,"electric,natural gas","drapes/window coverings, sprinkler - fire, windows - thermo","recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",lynn valley,1 day,,r2769571,rebgv,,,built in 2002 (21 yrs old),,0
