19014 119 Avenue,"$1,758,000",$0,,6,3,house,,freehold nonstrata,2 storey w/bsmt.,"baseboard,electric,forced air","drapes/window coverings, garage door opener, security - roughed in","air conditioning, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,central meadows,23 days,1047,r2763341,rebgv,36.50 feet,36 ft x 121 ft (4436 ft²),built in 2023 (0 yrs old),121.5,1
19014 119 Avenue,"$1,758,000",$0,,6,3,house,,freehold nonstrata,2 storey w/bsmt.,"baseboard,electric,forced air","drapes/window coverings, garage door opener, security - roughed in","air conditioning, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,central meadows,23 days,1047,r2763341,rebgv,36.50 feet,36 ft x 121 ft (4436 ft²),built in 2023 (0 yrs old),121.5,1
19486 117 Avenue,"$1,399,800","$4,750",,5,2,house,,freehold nonstrata,"2 storey,split entry",forced air,,"recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",south meadows,1 day,,r2769661,rebgv,67.00 feet,67 ft x 110 ft (7370 ft²),built in 1971 (52 yrs old),110,1
19649 Poplar Drive,"$599,900",$0,,2,2,mfd/mobile home,,shares in co-operative,manufactured/mobile,forced air,,"club house, recreation center, recreation nearby, shopping nearby",,central meadows,3 days,97,r2768724,rebgv,,,built in 2006 (17 yrs old),,0
17590 Kennedy Road,"$2,480,000","$7,114",,4,4,house,,freehold nonstrata,2 storey,,,,,west meadows,16 days,626,r2764834,rebgv,0.00 feet,0 ft x 0 ft (1.2 acres),built in 1999 (24 yrs old),0.00,1
222 12460 191 Street,"$595,000","$2,827",$278,2,2,apt/condo,,freehold strata,"inside unit,upper unit",baseboard,"elevator, garden","bike room, golf course nearby, recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",mid meadows,16 days,216,r2764689,rebgv,,,built in 2019 (4 yrs old),,0
19334 119b Avenue,"$999,900","$4,840",,5,2,house,,freehold nonstrata,basement entry,"forced air,natural gas",,"air conditioning, recreation nearby",,central meadows,3 days,508,r2764640,rebgv,66.00 feet,66 ft x 132 ft (8745 ft²),built in 1971 (52 yrs old),132,1
406 12079 Harris Road,"$549,000","$2,651",$382,1,1,apt/condo,,freehold strata,inside unit,electric,"elevator, smoke alarm, sprinkler - fire","bike room, golf course nearby, recreation nearby, shopping nearby, storage, wheelchair access","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",central meadows,20 days,274,r2764104,rebgv,,,built in 2010 (13 yrs old),,0
110 19091 Mcmyn Road,"$524,900","$2,428",$332,1,1,apt/condo,,freehold strata,ground level unit,"baseboard,electric",elevator,"golf course nearby, recreation nearby, shopping nearby, wheelchair access","in suite laundry, washer/dryer/fridge/stove/dishwasher",mid meadows,7 days,217,r2767913,rebgv,,,built in 1998 (25 yrs old),,0
116 11950 Harris Road,"$429,000","$2,166",$302,1,1,apt/condo,,freehold strata,1 storey,"baseboard,electric","elevator, sprinkler - fire","golf course nearby, recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",central meadows,23 days,297,r2763264,rebgv,,,built in 2008 (15 yrs old),,0
407 12525 190a Street,"$624,800","$3,121",$376,2,2,apt/condo,,freehold strata,1 storey,"baseboard,electric",,"air conditioning, bike room, central air conditioning, exercise room","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",mid meadows,10 days,772,r2767027,rebgv,,,built in 2011 (12 yrs old),,0
17440 Kennedy Road,"$649,900",,,0,,land/lot,,,,,,,,west meadows,23 days,351,c8050441,canadian real estate association,,,built in 2008 (15 yrs old),,
207 12525 190a Street,"$599,900","$3,038",$376,2,2,apt/condo,,freehold strata,inside unit,electric,"elevator, security - roughed in, smoke alarm, sprinkler - fire","air conditioning, bike room, exercise room, golf course nearby, shopping nearby, storage","disposal - waste, in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",mid meadows,15 days,479,r2765302,rebgv,,,built in 2011 (12 yrs old),,0
12041 189b Street,"$1,299,000","$4,906",,3,3,house,,freehold nonstrata,3 level split,"forced air,natural gas",windows - thermo,"golf course nearby, marina nearby, recreation nearby, shopping nearby",,central meadows,24 days,1275,r2762648,rebgv,70.00 feet,7810 ft²,built in 1976 (47 yrs old),,0
