2005 2789 Shaughnessy Street,"$744,900","$2,223",$406,2,2,apt/condo,,freehold strata,1 storey,"baseboard,electric",garage door opener,"bike room, exercise room","dishwasher, in suite laundry, refrigerator, stove, washer/dryer/fridge/stove/dishwasher",central port coquitlam,10 days,324,r2766292,rebgv,,,built in 2012 (11 yrs old),,0
305 2288 Welcher Avenue,"$624,900","$1,694",$312,1,1,apt/condo,,freehold strata,corner unit,"baseboard,electric","drapes/window coverings, smoke alarm, sprinkler - fire","bike room, shopping nearby, wheelchair access","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",central port coquitlam,3 days,65,r2768863,rebgv,,,built in 2016 (7 yrs old),,0
1144 Settlers Court,"$1,849,900","$5,217",,6,3,house,,freehold nonstrata,2 storey w/bsmt.,mixed,"cul-de-sac, oven - built in, storage shed, vacuum - roughed in",recreation nearby,washer/dryer/fridge/stove/dishwasher,citadel,2 days,125,r2769131,rebgv,0.00 feet,0 ft x 0 ft (5737 ft²),built in 1989 (34 yrs old),0,1
305 2288 Welcher Avenue,"$624,900","$1,694",$312,1,1,apt/condo,,freehold strata,corner unit,"baseboard,electric","drapes/window coverings, smoke alarm, sprinkler - fire","bike room, shopping nearby, wheelchair access","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",central port coquitlam,3 days,65,r2768863,rebgv,,,built in 2016 (7 yrs old),,0
108 1650 Grant Avenue,"$645,000","$1,672",$429,2,2,apt/condo,,freehold strata,1 storey,"electric,natural gas","drapes/window coverings, elevator, intercom","recreation nearby, shopping nearby, storage, wheelchair access","in suite laundry, washer/dryer/fridge/stove/dishwasher",glenwood,3 days,83,r2768524,rebgv,,,built in 1995 (28 yrs old),,0
3664 Hughes Place,"$1,499,000","$5,726",,5,2,house,,freehold nonstrata,2 storey,forced air,cul-de-sac,shopping nearby,"clothes washer/dryer, dishwasher, range top, refrigerator",woodland acres,3 days,310,r2768489,rebgv,48.35 feet,48 ft x 0 ft (8625 ft²),built in 1975 (48 yrs old),irregular,1
409 2353 Marpole Avenue,"$639,900","$1,878",$323,2,2,apt/condo,,freehold strata,"1 storey,penthouse,upper unit",electric,elevator,"recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",central port coquitlam,7 days,201,r2768002,rebgv,,,built in 2007 (16 yrs old),,0
A334 2099 Lougheed Highway,"$589,900","$1,697",$426,2,2,apt/condo,,freehold strata,"1 storey,inside unit","baseboard,electric",,"exercise room, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",glenwood,7 days,352,r2767959,rebgv,,,built in 2002 (21 yrs old),,0
302 2627 Shaughnessy Street,"$558,800","$2,044",$477,2,2,apt/condo,,freehold strata,inside unit,electric,elevator,"bike room, shopping nearby, storage","dishwasher, in suite laundry, microwave",central port coquitlam,7 days,604,r2767629,rebgv,,,built in 2008 (15 yrs old),,0
2937 Sandlewood Way,"$1,299,000","$4,882",,6,2,house,,freehold nonstrata,split entry,forced air,"garage door opener, storage shed","air conditioning, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,birchland manor,8 days,1822,r2767284,rebgv,66.00 feet,66 ft x 110 ft (7260 ft²),built in 1967 (56 yrs old),110,1
415 2628 Maple Street,"$699,900","$1,993",$446,2,2,apt/condo,,freehold strata,"inside unit,penthouse","baseboard,electric","drapes/window coverings, smoke alarm, sprinkler - fire","bike room, exercise room, recreation nearby, shopping nearby, storage","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",central port coquitlam,8 days,245,r2767340,rebgv,,,built in 2008 (15 yrs old),,0
104 2418 Avon Place,"$849,785","$2,718",$293,3,2,townhouse,,freehold strata,"3 storey,reverse 2 storey w/bsmt.",electric,"fireplace insert, garden, smoke alarm","recreation nearby, shopping nearby","dishwasher, in suite laundry",riverwood,8 days,1173,r2766667,rebgv,,,built in 2008 (15 yrs old),,0
105 2477 Kelly Avenue,"$499,000","$1,471",$297,1,1,apt/condo,,freehold strata,"1 storey,ground level unit","baseboard,electric","drapes/window coverings, fireplace insert, garage door opener, garden, sprinkler - fire","exercise room, recreation nearby, shopping nearby","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",central port coquitlam,8 days,234,r2767187,rebgv,,,built in 2008 (15 yrs old),,0
3415 2180 Kelly Street,"$750,000","$1,838",$434,3,2,apt/condo,,freehold strata,corner unit,electric,"elevator, garden","bike room, exercise room, recreation nearby, shopping nearby","clothes washer/dryer, dishwasher, in suite laundry, microwave, refrigerator, stove",central port coquitlam,9 days,322,r2767010,rebgv,,,built in 2021 (2 yrs old),,0
406 2357 Whyte Avenue,"$519,900","$1,559",$447,1,1,apt/condo,,freehold strata,"corner unit,penthouse","baseboard,electric",elevator,"recreation nearby, shopping nearby, wheelchair access","in suite laundry, washer/dryer/fridge/stove/dishwasher",central port coquitlam,9 days,164,r2766897,rebgv,,,built in 1994 (29 yrs old),,1
15 3410 Coast Meridian Road,"$819,000","$2,229",$353,3,2,townhouse,,freehold strata,3 storey,forced air,,,"in suite laundry, washer/dryer/fridge/stove/dishwasher",lincoln park,9 days,313,r2766999,rebgv,,,built in 1987 (36 yrs old),,1
1604 Pitt River Road,"$1,589,000","$4,262",,5,2,house,,freehold nonstrata,"2 storey,split entry",forced air,,"recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,mary hill,9 days,207,r2766768,rebgv,75.00 feet,75 ft x 118 ft (8744 ft²),built in 1972 (51 yrs old),118,1
208 2339 Shaughnessy Street,"$649,900","$1,612",$415,2,2,apt/condo,,freehold strata,"1 storey,corner unit","electric,natural gas",elevator,"recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",central port coquitlam,9 days,320,r2766689,rebgv,,,built in 1990 (33 yrs old),,0
304 2331 Kelly Avenue,"$584,900",$0,$232,1,1,apt/condo,,freehold strata,upper unit,"baseboard,electric","elevator, smoke alarm, sprinkler - inground","recreation nearby, shopping nearby","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",central port coquitlam,9 days,87,r2766620,rebgv,,,built in 2023 (0 yrs old),,0
1081 Fraserview Street,"$1,598,000","$4,719",,5,4,house,,freehold nonstrata,basement entry,"forced air,heat pump,natural gas","drapes/window coverings, garage door opener, vacuum - built in","recreation nearby, shopping nearby","microwave, washer/dryer/fridge/stove/dishwasher",citadel,10 days,2144,r2767461,rebgv,56.00 feet,56 ft x 96 ft (5395 ft²),built in 1988 (35 yrs old),96.3,0
2005 2789 Shaughnessy Street,"$744,900","$2,223",$406,2,2,apt/condo,,freehold strata,1 storey,"baseboard,electric",garage door opener,"bike room, exercise room","dishwasher, in suite laundry, refrigerator, stove, washer/dryer/fridge/stove/dishwasher",central port coquitlam,10 days,324,r2766292,rebgv,,,built in 2012 (11 yrs old),,0
305 1668 Grant Avenue,"$689,000","$2,243",$635,3,2,apt/condo,,freehold strata,"corner unit,upper unit","electric,natural gas","elevator, garage door opener","recreation nearby, shopping nearby, wheelchair access","in suite laundry, washer/dryer/fridge/stove/dishwasher",glenwood,13 days,776,r2765864,rebgv,,,built in 2005 (18 yrs old),,0
1144 Settlers Court,"$1,849,900","$5,217",,6,3,house,,freehold nonstrata,2 storey w/bsmt.,mixed,"cul-de-sac, oven - built in, storage shed, vacuum - roughed in",recreation nearby,washer/dryer/fridge/stove/dishwasher,citadel,2 days,125,r2769131,rebgv,0.00 feet,0 ft x 0 ft (5737 ft²),built in 1989 (34 yrs old),0,1
108 1650 Grant Avenue,"$645,000","$1,672",$429,2,2,apt/condo,,freehold strata,1 storey,"electric,natural gas","drapes/window coverings, elevator, intercom","recreation nearby, shopping nearby, storage, wheelchair access","in suite laundry, washer/dryer/fridge/stove/dishwasher",glenwood,3 days,83,r2768524,rebgv,,,built in 1995 (28 yrs old),,0
3664 Hughes Place,"$1,499,000","$5,726",,5,2,house,,freehold nonstrata,2 storey,forced air,cul-de-sac,shopping nearby,"clothes washer/dryer, dishwasher, range top, refrigerator",woodland acres,3 days,310,r2768489,rebgv,48.35 feet,48 ft x 0 ft (8625 ft²),built in 1975 (48 yrs old),irregular,1
57 2358 Ranger Lane,"$1,250,000","$3,491",$438,4,3,townhouse,,freehold strata,"corner unit,end unit",electric,garden,"exercise room, golf course nearby, recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",riverwood,17 days,1026,r2764600,rebgv,,,built in 2015 (8 yrs old),,1
2005 2789 Shaughnessy Street,"$744,900","$2,223",$406,2,2,apt/condo,,freehold strata,1 storey,"baseboard,electric",garage door opener,"bike room, exercise room","dishwasher, in suite laundry, refrigerator, stove, washer/dryer/fridge/stove/dishwasher",central port coquitlam,10 days,324,r2766292,rebgv,,,built in 2012 (11 yrs old),,0
302 2231 Welcher Avenue,"$560,000","$1,528",$305,2,1,apt/condo,,freehold strata,"penthouse,upper unit","baseboard,electric",smoke alarm,recreation nearby,"disposal - waste, in suite laundry, washer/dryer/fridge/stove/dishwasher",central port coquitlam,13 days,310,r2766092,rebgv,,,built in 1995 (28 yrs old),,0
204 2388 Welcher Avenue,"$619,900","$1,769",$446,2,2,apt/condo,,freehold strata,1 storey,"electric,natural gas",elevator,"recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",central port coquitlam,16 days,344,r2765041,rebgv,,,built in 1994 (29 yrs old),,0
1504 2789 Shaughnessy Street,"$679,900",$0,$387,2,2,apt/condo,,freehold strata,"1 storey,upper unit",baseboard,"elevator, garden","bike room, exercise room, recreation nearby","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",central port coquitlam,16 days,415,r2764727,rebgv,,,built in 2012 (11 yrs old),,0
1550 Shaughnessy Street,"$1,290,000","$4,517",,3,1,house,,freehold nonstrata,rancher/bungalow,"forced air,natural gas",garden,"golf course nearby, recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",citadel,16 days,612,r2764903,rebgv,0.00 feet,9072 ft²,built in 1975 (48 yrs old),,1
202 2437 Welcher Avenue,"$555,000","$1,409",$577,2,2,apt/condo,,freehold strata,inside unit,"baseboard,electric",elevator,"recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",central port coquitlam,16 days,513,r2764902,rebgv,,,built in 1995 (28 yrs old),,0
