318 2435 Kingsway,"$889,000","$2,397",$393,2,2,apt/condo,,freehold strata,1 storey,other,,"air conditioning, bike room","microwave, washer/dryer/fridge/stove/dishwasher",collingwood,16 days,650,r2764781,rebgv,,,built in 2021 (2 yrs old),,0
802 2288 W 40th Avenue,"$1,989,000","$5,491",$850,3,3,apt/condo,,freehold strata,"corner unit,end unit","hot water,radiant","elevator, garden","shopping nearby, storage",washer/dryer/fridge/stove/dishwasher,kerrisdale,78 days,1141,r2749411,rebgv,,,built in 1991 (32 yrs old),,0
303 607 E 8th Avenue,"$688,000","$1,480",$346,1,1,apt/condo,,freehold strata,other,"baseboard,hot water","drapes/window coverings, elevator",shared laundry,"dishwasher, microwave, refrigerator, stove",mount pleasant east,14 days,1070,r2765553,rebgv,,,built in 1982 (41 yrs old),,0
206 224 N Garden Drive,"$565,000","$1,414",$305,1,1,apt/condo,,freehold strata,"inside unit,upper unit","baseboard,electric","drapes/window coverings, elevator, garage door opener, intercom, storage shed","recreation nearby, shared laundry, shopping nearby, wheelchair access","dishwasher, microwave, refrigerator, stove",hastings,5 days,456,r2768096,rebgv,,,built in 1984 (39 yrs old),,0
Ph1 777 Richards Street,"$4,880,000","$16,486","$2,243",3,4,apt/condo,,freehold strata,penthouse,"forced air,other",elevator,"air conditioning, bike room, central air conditioning, exercise room, hot tub, recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",downtown west,65 days,1777,r2752617,rebgv,,,built in 2016 (7 yrs old),,0
517 289 E 6th Avenue,"$958,000","$2,375",$535,2,2,apt/condo,,freehold strata,"corner unit,upper unit",baseboard,elevator,"exercise room, recreation nearby, shopping nearby, storage","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",mount pleasant east,7 days,272,r2767696,rebgv,,,built in 2015 (8 yrs old),,0
1465 W Hastings Street,"$2,880,000","$5,214","$1,161",2,2,townhouse,,freehold strata,3 level split,"electric,radiant","drapes/window coverings, garage door opener","air conditioning, exercise room, hot tub, marina nearby, recreation nearby, sauna, shopping nearby","disposal - waste, in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",coal harbour,8 days,227,r2767046,rebgv,,,built in 2003 (20 yrs old),,1
4876 Narvaez Drive,"$5,198,000","$21,279",,5,2,house,,freehold nonstrata,2 storey w/bsmt.,hot water,"drapes/window coverings, garage door opener, oven - built in, security system, vacuum - built in","recreation nearby, shopping nearby","disposal - waste, freezer, microwave, refrigerator, washer/dryer/fridge/stove/dishwasher",quilchena,22 days,624,r2763223,rebgv,50.00 feet,50 ft x 130 ft (0 ft²),built in 1986 (37 yrs old),130.00,1
1067 W 47th Avenue,"$5,480,000","$20,385",,6,5,house,,freehold nonstrata,2 storey w/bsmt.,"natural gas,radiant",,"air conditioning, shopping nearby",washer/dryer/fridge/stove/dishwasher,south granville,1 day,,r2769492,rebgv,60.00 feet,60 ft x 122 ft (7368 ft²),built in 2014 (9 yrs old),122.8,1
392 Smithe Street,"$1,199,000","$3,073",$797,2,2,townhouse,,freehold strata,2 storey,electric,"drapes/window coverings, elevator","exercise room, marina nearby, recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",yaletown,29 days,1696,r2761590,rebgv,,,built in 2006 (17 yrs old),,1
211 7128 Adera Street,"$699,900","$1,974",$384,1,1,apt/condo,,freehold strata,"1 storey,ground level unit","forced air,radiant","drapes/window coverings, elevator, garden, oven - built in, pantry, sprinkler - fire","air conditioning, bike room, central air conditioning, exercise room, storage","clothes dryer, in suite laundry, microwave, range top, washer/dryer/fridge/stove/dishwasher",south granville,1 day,,r2769481,rebgv,,,built in 2019 (4 yrs old),,0
2607 8189 Cambie Street,"$988,000","$2,558",$512,2,2,apt/condo,,freehold strata,1 storey,"electric,heat pump","elevator, garage door opener, garden","golf course nearby, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,marpole,1 day,,r2769311,rebgv,,,built in 2018 (5 yrs old),,0
604 1228 Homer Street,"$849,000","$2,219",$459,1,1,apt/condo,,freehold strata,"loft/warehouse conv.,penthouse","baseboard,electric","drapes/window coverings, elevator","bike room, marina nearby, recreation nearby, shopping nearby, storage, wheelchair access","in suite laundry, washer/dryer/fridge/stove/dishwasher",yaletown,1 day,,r2769243,rebgv,,,built in 2007 (16 yrs old),,0
311 1345 Comox Street,"$549,900","$1,501",$381,1,1,apt/condo,,freehold strata,"inside unit,upper unit","baseboard,electric",elevator,"recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",west end,1 day,,r2769407,rebgv,,,built in 1982 (41 yrs old),,0
303 1788 Columbia Street,"$859,000","$2,154",$493,2,1,apt/condo,,freehold strata,corner unit,"baseboard,hot water","drapes/window coverings, elevator, garden","exercise room, recreation nearby, shopping nearby, storage","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",false creek,1 day,,r2769422,rebgv,,,built in 2018 (5 yrs old),,0
303 607 E 8th Avenue,"$688,000","$1,480",$346,1,1,apt/condo,,freehold strata,other,"baseboard,hot water","drapes/window coverings, elevator",shared laundry,"dishwasher, microwave, refrigerator, stove",mount pleasant east,14 days,1070,r2765553,rebgv,,,built in 1982 (41 yrs old),,0
5158 Rupert Street,"$1,798,000",$0,$0,4,4,duplex,,freehold strata,2 storey w/bsmt.,"heat recovery ventilator, radiant","drapes/window coverings, heat recovery ventilator, smoke alarm, sprinkler - fire","air conditioning, central air conditioning",washer/dryer/fridge/stove/dishwasher,collingwood,1 day,,r2769452,rebgv,44.00 feet,44 ft x 107 ft (4708 ft²),built in 2023 (0 yrs old),107,0
200 2033 W 7th Avenue,"$599,000","$1,266",$343,1,1,apt/condo,,freehold strata,inside unit,hot water,,shared laundry,,kitsilano,14 days,764,r2765633,rebgv,,,built in 1972 (51 yrs old),,0
5156 Rupert Street,"$1,798,000",$0,$0,4,4,duplex,,freehold strata,2 storey w/bsmt.,"heat recovery ventilator, radiant","drapes/window coverings, heat recovery ventilator, smoke alarm, sprinkler - fire","air conditioning, central air conditioning",washer/dryer/fridge/stove/dishwasher,collingwood,1 day,,r2769426,rebgv,44.00 feet,44 ft x 107 ft (4708 ft²),built in 2023 (0 yrs old),107,0
3896 W 29th Avenue,"$2,288,000","$8,343",,4,3,house,,freehold nonstrata,2 storey w/bsmt.,,,,,dunbar,14 days,1403,r2765634,rebgv,33.00 feet,33 ft x 130 ft (4290 ft²),built in 1930 (93 yrs old),130,1
Ph714 2268 W Broadway,"$1,199,000","$3,296",$572,2,2,apt/condo,,freehold nonstrata,"corner unit,penthouse","baseboard,electric","drapes/window coverings, elevator, garage door opener","bike room, exercise room, recreation nearby, shopping nearby, wheelchair access","clothes dryer, clothes washer, dishwasher, disposal - waste, in suite laundry, microwave, refrigerator, stove",kitsilano,1 day,,r2769370,rebgv,,,built in 2008 (15 yrs old),,0
4305 1480 Howe Street,"$1,988,000","$5,731","$1,112",2,2,apt/condo,,freehold strata,"1 storey,upper unit",heat pump,"elevator, garden, pantry","air conditioning, bike room, central air conditioning, exercise room, hot tub, marina nearby, recreation nearby, sauna, shopping nearby","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",yaletown,14 days,1005,r2765944,rebgv,,,built in 2020 (3 yrs old),,0
502 1241 Homer Street,"$1,950,000",,,2,2,house,,,,,,,,yaletown,1 day,686,r2764312,engel & völkers,,0 ft²,built in 2009 (14 yrs old),,0
211 3131 Main Street,"$798,000","$1,844",$455,2,1,apt/condo,,freehold strata,"corner unit,upper unit","baseboard,electric",elevator,shopping nearby,in suite laundry,mount pleasant east,1 day,,r2769290,rebgv,,,built in 1991 (32 yrs old),,0
3108 E Georgia Street,"$1,425,000",$0,$0,3,3,duplex,,freehold strata,3 storey,"electric,heat pump,radiant","garage door opener, sprinkler - fire","air conditioning, central air conditioning, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",renfrew,14 days,1012,r2765582,rebgv,,0 ft²,built in 2023 (0 yrs old),,1
101 2260 W 39th Avenue,"$1,685,000","$4,777",$984,2,2,townhouse,,freehold strata,"2 storey,ground level unit","electric,heat pump,natural gas","elevator, garden, security system","air conditioning, central air conditioning, golf course nearby, recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",kerrisdale,1 day,,r2769334,rebgv,,,built in 2009 (14 yrs old),,1
C38 1525 Coal Harbour Quay,"$1,299,000",$0,,2,2,house,,other,floating home,electric,,"recreation nearby, shopping nearby",in suite laundry,coal harbour,14 days,1890,r2765464,rebgv,0.00 feet,436 ft²,built in 1992 (31 yrs old),,0
202 1350 Comox Street,"$689,000","$1,429",$357,1,1,apt/condo,,freehold strata,other,baseboard,"elevator, sprinkler - fire","recreation nearby, shopping nearby, storage",,west end,1 day,,r2769386,rebgv,,,built in 1982 (41 yrs old),,0
2843 Wall Street,"$2,288,000","$6,702",,4,3,house,,freehold nonstrata,2 storey w/bsmt.,"electric,hot water,radiant","drapes/window coverings, fireplace insert, garden, pantry, storage shed, vacuum - built in, vaulted ceiling","golf course nearby, marina nearby, recreation nearby, shopping nearby, storage","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",hastings sunrise,14 days,972,r2765528,rebgv,34.90 feet,34 ft x 92 ft (3218 ft²),built in 1996 (27 yrs old),92.2,1
2312 Brock Street,"$1,569,000",$0,$376,3,3,duplex,,freehold strata,2 storey w/bsmt.,"baseboard,electric,radiant","drapes/window coverings, security system, smoke alarm, sprinkler - fire, vaulted ceiling","recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,victoria east,14 days,512,r2765653,rebgv,,0 ft²,built in 2022 (1 yrs old),,1
1907 918 Cooperage Way,"$1,289,000","$2,692",$552,2,1,apt/condo,,freehold strata,"inside unit,upper unit","baseboard,electric,heat pump","elevator, pantry, security system, sprinkler - fire","air conditioning, bike room, central air conditioning, exercise room, golf course nearby, marina nearby, recreation nearby, shopping nearby, storage","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",yaletown,1 day,,r2769365,rebgv,,,built in 2008 (15 yrs old),,0
603 288 E 8th Avenue,"$599,000","$1,484",$340,1,1,apt/condo,,freehold strata,1 storey,electric,"drapes/window coverings, elevator, garden, intercom","bike room, exercise room, recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",mount pleasant east,14 days,796,r2765480,rebgv,,,built in 1997 (26 yrs old),,0
