7967 19th Avenue,"$1,888,000",,,,,,,,,,,,,,,,,,,,,,
7873 14th Avenue,"$2,967,000","$4,582",,0,0,house,,freehold nonstrata,other,,,,,east burnaby,26 days,89,r2762066,rebgv,50.00 feet,50 ft x 120 ft (6000 ft²),built in 1984 (39 yrs old),120,0
7639 6th Street,"$2,967,000","$11,010",,0,0,house,,freehold nonstrata,other,,,,,east burnaby,26 days,54,r2762064,rebgv,60.00 feet,60 ft x 100 ft (6000 ft²),,100,0
7629 6th Street,"$2,967,000",,,,,,,,,,,,,,,,,,,,,,
7720 7722 Graham Avenue,"$2,199,999","$4,549",,8,3,multifamily,,freehold nonstrata,,,,,,east burnaby,40 days,581,r2758423,rebgv,143.00 feet,143 ft x 60 ft (8580 ft²),built in 1955 (68 yrs old),60,0
7993 14th Avenue,"$1,899,000",,,,,,,,,,,,,,,,,,,,,,
8040 16th Avenue,"$2,489,000",,,,,,,,,,,,,,,,,,,,,,
7323 6th Street,"$2,099,000","$10,007",$0,5,2,multifamily,,freehold nonstrata,,,,,,east burnaby,85 days,454,r2747926,rebgv,43.00 feet,43 ft x 143 ft (6103 ft²),built in 1951 (72 yrs old),143,2
7515 2nd Street,"$2,678,000","$3,833",,6,5,house,,freehold nonstrata,"2 storey w/bsmt.,3 storey w/bsmt","heat recovery ventilator, hot water,natural gas,radiant","garage door opener, heat recovery ventilator, security system, vacuum - built in, wet bar",,"in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",east burnaby,1 day,,r2768560,rebgv,34.78 feet,34 ft x 110 ft (3820 ft²),built in 2023 (0 yrs old),110,1
7753 13th Avenue,"$2,798,000",,,,,,,,,,,,,,,,,,,,,,
7732 1st Street,"$1,689,000","$4,697",,6,2,house,,freehold nonstrata,"2 storey,basement entry",forced air,,"recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,east burnaby,7 days,440,r2766779,rebgv,0.00 feet,6711 ft²,built in 1958 (65 yrs old),,0
7936 15th Avenue,"$2,898,000","$4,560",,7,4,house,,freehold nonstrata,2 storey w/bsmt.,,,,,east burnaby,18 days,381,r2764127,rebgv,50.00 feet,50 ft x 120 ft (6000 ft²),built in 2023 (0 yrs old),120,2
8488 17th Avenue,"$1,650,000","$3,954",,4,2,house,,freehold nonstrata,2 storey,"forced air,natural gas",storage shed,"recreation center, restaurant","refrigerator, stove",east burnaby,19 days,303,r2762936,rebgv,66.00 feet,6138 ft²,built in 1962 (61 yrs old),,0
7957 15th Avenue,"$2,458,000","$5,746",,6,4,house,,freehold nonstrata,2 storey w/bsmt.,"hot water,natural gas","drapes/window coverings, garage door opener, security system",,washer/dryer/fridge/stove/dishwasher,east burnaby,28 days,272,r2761580,rebgv,50.00 feet,50 ft x 120 ft (6000 ft²),built in 1995 (28 yrs old),120,1
7487 2nd Street,"$1,790,000",,,,,,,,,,,,,,,,,,,,,,
7923 16th Avenue,"$1,999,999","$4,933",,6,4,house,,freehold nonstrata,2 storey,radiant,,"recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",east burnaby,48 days,1223,r2756255,rebgv,53.00 feet,53 ft x 111 ft (5883 ft²),built in 1997 (26 yrs old),111,0
107 7499 6th Street,"$969,900","$2,462",$275,3,2,townhouse,,freehold strata,3 storey,"baseboard,electric",,"recreation nearby, shopping nearby, storage",in suite laundry,east burnaby,55 days,2637,r2754885,rebgv,,,built in 2018 (5 yrs old),,1
8010 17th Avenue,"$2,698,888",,,,,,,,,,,,,,,,,,,,,,
8087 14th Avenue,"$2,349,000","$5,731",,4,2,house,,freehold nonstrata,2 storey,forced air,,"air conditioning, central air conditioning, shopping nearby, storage","microwave, washer/dryer/fridge/stove/dishwasher",east burnaby,92 days,1268,r2746331,rebgv,0.00 feet,0 ft x 0 ft (7446 ft²),built in 2007 (16 yrs old),0,1
7975 18th Avenue,"$1,699,888","$4,540",,6,2,house,,freehold nonstrata,rancher/bungalow w/bsmt.,"forced air,wood",,"recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",east burnaby,154 days,1509,r2738287,rebgv,50.00 feet,50 ft x 120 ft (6000 ft²),built in 1950 (73 yrs old),120,0
7967 19th Avenue,"$1,888,000",,,,,,,,,,,,,,,,,,,,,,
606 7169 14th Avenue,"$649,800","$1,560",$278,1,1,apt/condo,,freehold strata,"penthouse,upper unit","baseboard,electric","drapes/window coverings, elevator","exercise room, recreation nearby, shopping nearby, storage","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",edmonds,5 days,159,r2767962,rebgv,,,built in 2021 (2 yrs old),,0
8768 Armstrong Avenue,"$3,098,000",,,,,,,,,,,,,,,,,,,,,,
2001 2388 Madison Avenue,"$929,900","$2,512",$405,2,2,apt/condo,,freehold strata,1 storey,"baseboard,electric",,"bike room, golf course nearby, hot tub, recreation nearby, sauna, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",brentwood park,22 days,1102,r2762508,rebgv,,,built in 2019 (4 yrs old),,0
5055 Georgia Street,"$2,450,000",,,,,,,,,,,,,,,,,,,,,,
415 9283 Government Street,"$589,000",,,,,,,,,,,,,,,,,,,,,,
103 3738 Norfolk Street,"$620,000","$1,496",$524,2,2,apt/condo,,freehold strata,ground level unit,"baseboard,electric","cul-de-sac, garden","bike room, recreation nearby, shopping nearby, storage, wheelchair access","in suite laundry, washer/dryer/fridge/stove/dishwasher",central burnaby north,1 day,,r2768841,rebgv,,,built in 1993 (30 yrs old),,0
2220 Windwood Place,"$2,480,000",,,,,,,,,,,,,,,,,,,,,,
1401 3980 Carrigan Court,"$849,900",,,,,,,,,,,,,,,,,,,,,,
7464 Kilrea Crescent,"$2,499,880",,,,,,,,,,,,,,,,,,,,,,
2001 691 North Road,"$848,000",,,,,,,,,,,,,,,,,,,,,,
2220 Dauphin Place,"$1,999,900","$5,629",,4,2,house,,freehold nonstrata,3 level split,"forced air,natural gas","cul-de-sac, drapes/window coverings, security system","air conditioning, golf course nearby, recreation nearby, shopping nearby","washer/dryer/fridge/stove/dishwasher, wine cooler",parkcrest,5 days,1003,r2767769,rebgv,60.00 feet,60 ft x 123 ft (7372 ft²),built in 1971 (52 yrs old),123,1
204 9127 Capella Drive,"$499,000",,,,,,,,,,,,,,,,,,,,,,
404 9888 University Crescent,"$764,900",,,,,,,,,,,,,,,,,,,,,,
1531 Giles Place,"$1,348,000",,,,,,,,,,,,,,,,,,,,,,
