1106 Grover Avenue,"$3,488,000","$4,504",,7,7,house,,freehold nonstrata,2 storey w/bsmt.,heat pump,"garage door opener, oven - built in","air conditioning, golf course nearby, recreation nearby, shopping nearby","microwave, washer/dryer/fridge/stove/dishwasher, wine cooler",central coquitlam,8 days,642,r2766859,rebgv,63.00 feet,63 ft x 125 ft (7875 ft²),built in 2023 (0 yrs old),125,2
213 617 Smith Avenue,"$549,000","$1,593",$272,1,1,apt/condo,,freehold strata,inside unit,electric,elevator,"recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",coquitlam west,13 days,910,r2766119,rebgv,,,built in 2013 (10 yrs old),,0
1241 Oxbow Way,"$1,100,000","$3,316",$135,3,3,house,,freehold strata,2 storey,"forced air,natural gas",,club house,washer/dryer/fridge/stove/dishwasher,river springs,1 day,,r2769641,rebgv,0.00 feet,4104 ft²,built in 1980 (43 yrs old),,0
2 271 Blue Mountain Street,"$1,170,000",$0,$0,3,2,duplex,,freehold strata,2 storey,forced air,,"golf course development, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,coquitlam west,1 day,,r2769587,rebgv,,0 ft²,built in 2023 (0 yrs old),,1
315 3176 Plateau Boulevard,"$675,000","$1,785",$447,2,2,apt/condo,,freehold strata,"corner unit,upper unit",baseboard,elevator,,"in suite laundry, washer/dryer/fridge/stove/dishwasher",westwood plateau,1 day,,r2768108,rebgv,,,built in 1997 (26 yrs old),,0
1905 3096 Windsor Gate,"$779,000","$2,177",$317,2,2,apt/condo,,freehold strata,upper unit,"baseboard,electric",garden,exercise room,"in suite laundry, washer/dryer/fridge/stove/dishwasher",new horizons,1 day,15,r2769414,rebgv,,,built in 2019 (4 yrs old),,0
1414 Gabriola Drive,"$1,450,000","$3,867",,4,2,house,,freehold nonstrata,"2 storey,split entry","forced air,heat pump",storage shed,"air conditioning, central air conditioning, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,new horizons,2 days,116,r2769226,rebgv,0.00 feet,4237 ft²,built in 1982 (41 yrs old),,0
45 3400 Devonshire Avenue,"$1,329,000","$3,557",$336,4,3,townhouse,,freehold strata,"3 storey,corner unit","baseboard,electric",,,"in suite laundry, washer/dryer/fridge/stove/dishwasher",burke mountain,2 days,88,r2769090,rebgv,,,built in 2015 (8 yrs old),,1
3200 Toba Drive,"$1,379,000","$3,789",,4,2,house,,freehold nonstrata,2 storey,"forced air,natural gas",drapes/window coverings,"golf course nearby, recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",new horizons,2 days,202,r2769078,rebgv,0.00 feet,4101 ft²,built in 1981 (42 yrs old),,1
1709 Regan Avenue,"$2,099,900","$5,129",,6,2,house,,freehold nonstrata,2 storey,forced air,,,washer/dryer/fridge/stove/dishwasher,central coquitlam,2 days,97,r2768978,rebgv,72.00 feet,72 ft x 134 ft (9648 ft²),built in 1959 (64 yrs old),134,0
1744 Brunette Avenue,"$1,800,000","$3,750",,5,2,house,,freehold nonstrata,1 storey,,,,,central coquitlam,2 days,37,r2768569,rebgv,122.00 feet,122 ft x 66 ft (8091 ft²),built in 1956 (67 yrs old),66,0
