598 Tsawwassen Beach Road,"$5,498,000","$15,780",,3,2,house,,freehold nonstrata,2 storey,forced air,"drapes/window coverings, garage door opener, security - roughed in, smoke alarm, vacuum - built in, vaulted ceiling, windows - thermo","golf course nearby, recreation nearby","freezer, microwave, washer/dryer/fridge/stove/dishwasher",english bluff,226 days,2474,r2720747,rebgv,136.00 feet,136 ft x 432 ft (1.3 acres),built in 1995 (28 yrs old),432,1
5297 Booth Road,"$1,239,000","$4,045",,3,2,house,,freehold nonstrata,2 storey,"forced air,natural gas",garage door opener,"golf course nearby, marina nearby, recreation nearby, shopping nearby","microwave, washer/dryer/fridge/stove/dishwasher",neilsen grove,29 days,1330,r2761663,rebgv,66.00 feet,66 ft x 101 ft (6600 ft²),built in 1973 (50 yrs old),101,0
7493 117 Street,"$2,349,900","$4,102",,8,6,house,,freehold nonstrata,"2 storey w/bsmt.,3 storey","heat recovery ventilator, natural gas,radiant","heat recovery ventilator, security system, sprinkler - inground",air conditioning,washer/dryer/fridge/stove/dishwasher,scottsdale,1 day,,r2769273,rebgv,61.37 feet,61 ft x 100 ft (6135 ft²),built in 2023 (0 yrs old),100,0
310 8360 Delsom Way,"$535,000","$1,562",$318,1,1,apt/condo,,freehold strata,1 storey,electric,"drapes/window coverings, garage door opener","recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",nordel,1 day,23,r2769478,rebgv,,,built in 2019 (4 yrs old),,0
1146 50 Street,"$1,248,800","$4,306",,3,1,house,,freehold nonstrata,rancher/bungalow,"forced air,natural gas",,"golf course nearby, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,tsawwassen central,2 days,86,r2769184,rebgv,112.00 feet,112 ft x 66 ft (7388 ft²),built in 1968 (55 yrs old),66,1
5443 Paton Drive,"$1,398,800","$4,121",,0,,land/lot,,freehold nonstrata,,,,,,hawthorne,203 days,1023,r2726890,rebgv,66.00 feet,11884 ft²,,,
5757 Timbervalley Road,"$1,475,000","$5,092",,3,2,house,,freehold nonstrata,2 storey,"forced air,natural gas","drapes/window coverings, fireplace insert, garage door opener, oven - built in","golf course nearby, recreation nearby, shopping nearby","clothes dryer, clothes washer, compactor - garbage, dishwasher, microwave, range top",tsawwassen east,2 days,145,r2769109,rebgv,68.00 feet,68 ft x 110 ft (7481 ft²),built in 1980 (43 yrs old),110,1
4641 55a Street,"$1,429,000","$4,325",,3,3,house,,freehold nonstrata,"rancher/bungalow,rancher/bungalow w/loft","electric,natural gas,radiant","drapes/window coverings, garage door opener, garden, security - roughed in, storage shed, vacuum - built in","golf course nearby, marina nearby, recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",delta manor,24 days,1135,r2762707,rebgv,49.50 feet,49 ft x 100 ft (4951 ft²),built in 1986 (37 yrs old),100,0
11487 Somerset Crescent,"$1,599,900","$5,001",,5,3,house,,freehold nonstrata,"2 storey,split entry",forced air,,"recreation nearby, shopping nearby","compactor - garbage, microwave, washer/dryer/fridge/stove/dishwasher",sunshine hills woods,2 days,224,r2768908,rebgv,66.01 feet,66 ft x 117 ft (7755 ft²),built in 1979 (44 yrs old),117.49,0
7932 118 Street,"$1,499,900","$3,214",,5,4,duplex,,freehold nonstrata,"2 storey w/bsmt.,3 storey","forced air,natural gas","drapes/window coverings, garage door opener, security - roughed in, smoke alarm, vacuum - roughed in","recreation nearby, shopping nearby","microwave, washer/dryer/fridge/stove/dishwasher",scottsdale,64 days,1112,r2752977,rebgv,,3600 ft²,built in 2023 (0 yrs old),,2
5675 Abbey Drive,"$2,700,000","$8,680",,7,6,house,,freehold nonstrata,2 storey w/bsmt.,"forced air,radiant","garage door opener, security system, sprinkler - fire",air conditioning,"washer/dryer/fridge/stove/dishwasher, wine cooler",sunshine hills woods,3 days,302,r2767171,rebgv,83.90 feet,83 ft x 115 ft (9743 ft²),built in 2020 (3 yrs old),115.99,1
422 1892 Starling Drive,"$699,000","$2,146",$480,2,2,apt/condo,,leasehold prepaid-strata,"1 storey,penthouse",baseboard,"drapes/window coverings, elevator, garage door opener, pantry, smoke alarm, sprinkler - fire","exercise room, golf course nearby, shopping nearby, storage","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",tsawwassen north,65 days,810,r2752868,rebgv,,,built in 2020 (3 yrs old),,0
