22775 88 Avenue,"$1,650,000","$5,460",,4,2,house,,freehold nonstrata,3 level split,"forced air,natural gas",garage door opener,"barn, golf course nearby, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,fort langley,9 days,610,r2766022,rebgv,214.00 feet,214 ft x 92 ft (16700 ft²),built in 1977 (46 yrs old),92,1
31 24455 61 Avenue,"$2,388,888","$6,328",$330,4,4,house,,freehold strata,2 storey w/bsmt.,"forced air,heat pump,natural gas","oven - built in, security system, sprinkler - fire, vacuum - built in, wet bar","air conditioning, central air conditioning","clothes washer/dryer, dishwasher, range top, refrigerator",salmon river,15 days,1064,r2764373,rebgv,94.00 feet,94 ft x 0 ft (8267 ft²),built in 2017 (6 yrs old),irreg,1
6751 196b Place,"$1,299,900","$5,730",,4,3,house,,freehold nonstrata,split entry,"forced air,natural gas,wood","cul-de-sac, drapes/window coverings, garden, smoke alarm, storage shed","recreation nearby, shopping nearby, storage",washer/dryer/fridge/stove/dishwasher,willoughby heights,1 day,,r2768840,rebgv,32.80 feet,32 ft x 0 ft (6370 ft²),built in 1986 (37 yrs old),irregular,0
19765 48 Avenue,"$1,449,900","$4,849",,5,3,house,,freehold nonstrata,4 level split,"forced air,natural gas","drapes/window coverings, garden, security - roughed in, smoke alarm, storage shed","recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",langley city,1 day,,r2768767,rebgv,70.60 feet,70 ft x 124 ft (8816 ft²),built in 1977 (46 yrs old),124.87,0
9571 215a Street,"$1,300,000","$5,104",,3,2,house,,freehold nonstrata,"1 storey,rancher/bungalow","electric,natural gas",cul-de-sac,"golf course nearby, recreation nearby, shopping nearby","microwave, washer/dryer/fridge/stove/dishwasher",walnut grove,1 day,,r2769301,rebgv,38.00 feet,38 ft x 115 ft (7187 ft²),built in 1990 (33 yrs old),115.0,0
9191 Gay Street,"$3,148,600","$9,289",,7,6,house,,freehold nonstrata,2 storey w/bsmt.,forced air,"garage door opener, security system","shopping nearby, storage",in suite laundry,fort langley,1 day,,r2768842,rebgv,70.75 feet,10010 ft²,built in 2019 (4 yrs old),,1
9388 222 Street,"$5,998,600","$6,167",,5,5,house,,freehold nonstrata,2 storey w/bsmt.,"forced air,natural gas","hot tub spa/swirlpool, pantry, vacuum - built in, water treatment, wet bar","exercise room, hot tub, swimming pool equipment, workshop detached",free standing fireplace or woodstove,fort langley,1 day,,r2768719,rebgv,144.42 feet,144 ft x 0 ft (17.21 acres),built in 2009 (14 yrs old),(17.21ac),0
321 7506 199a Street,"$629,900",$0,$309,2,2,apt/condo,,freehold strata,1 storey,baseboard,"elevator, garden",storage,"in suite laundry, washer/dryer/fridge/stove/dishwasher",willoughby heights,1 day,,r2769505,rebgv,,,built in 2023 (0 yrs old),,0
26920 29 Avenue,"$1,399,000","$4,724",,6,4,house,,freehold nonstrata,"2 storey,basement entry","forced air,natural gas",,storage,"in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",aldergrove,1 day,,r2768624,rebgv,66.00 feet,7788 ft²,built in 1981 (42 yrs old),,0
102 3043 270 Street,"$376,800","$1,924",$199,2,1,apt/condo,,freehold strata,ground level unit,"baseboard,electric","drapes/window coverings, elevator","recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",aldergrove,1 day,47,r2769256,rebgv,,,built in 1981 (42 yrs old),,0
8455 214b Street,"$1,475,000","$5,754",,4,2,house,,freehold nonstrata,2 storey,"forced air,heat pump,natural gas","drapes/window coverings, storage shed, vacuum - built in","air conditioning, golf course nearby, recreation nearby, shopping nearby","microwave, washer/dryer/fridge/stove/dishwasher, wine cooler",walnut grove,1 day,180,r2769326,rebgv,55.00 feet,55 ft x 112 ft (6148 ft²),built in 1992 (31 yrs old),112,1
403 8327 201 Street,"$665,000","$2,578",$500,2,2,apt/condo,,freehold strata,1 storey,"baseboard,electric","drapes/window coverings, elevator","golf course nearby, recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",willoughby heights,1 day,36,r2769374,rebgv,,,built in 2021 (2 yrs old),,0
5336 199a Street,"$1,458,000","$4,826",,4,2,house,,freehold nonstrata,basement entry,"forced air,natural gas","cul-de-sac, vacuum - roughed in","golf course nearby, recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",langley city,1 day,28,r2768377,rebgv,0.00 feet,6557 ft²,built in 1984 (39 yrs old),,1
107 19774 56 Avenue,"$548,000","$1,608",$419,2,2,apt/condo,,freehold strata,ground level unit,"baseboard,electric","elevator, garage door opener, intercom, smoke alarm","air conditioning, bike room, exercise room, golf course nearby, recreation nearby, shopping nearby, storage","disposal - waste, in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",langley city,1 day,63,r2769371,rebgv,,,built in 2007 (16 yrs old),,0
57 20761 Telegraph Trail,"$989,500","$3,599",$399,4,2,townhouse,,freehold strata,"2 storey,rancher/bungalow w/bsmt.",forced air,cul-de-sac,"golf course development, shopping nearby",in suite laundry,walnut grove,2 days,126,r2768496,rebgv,,,built in 1995 (28 yrs old),,0
114 Springfield Drive,"$829,000","$3,723",,4,2,house,,freehold nonstrata,"2 storey,basement entry","baseboard,natural gas",storage shed,"recreation nearby, shopping nearby, storage, workshop detached","in suite laundry, washer/dryer/fridge/stove/dishwasher",aldergrove,2 days,288,r2768458,rebgv,53.00 feet,3170 ft²,built in 1978 (45 yrs old),,0
21038 77a Avenue,"$1,299,000","$4,504",,4,3,townhouse,,freehold nonstrata,2 storey w/bsmt.,"baseboard,electric",,,washer/dryer/fridge/stove/dishwasher,willoughby heights,2 days,136,r2768254,rebgv,,,built in 2013 (10 yrs old),,1
9 9525 204 Street,"$819,900","$3,385",$293,3,2,townhouse,,freehold strata,3 storey,"baseboard,electric",,,"in suite laundry, washer/dryer/fridge/stove/dishwasher",walnut grove,2 days,228,r2768234,rebgv,,,built in 2010 (13 yrs old),,0
6629 197 Street,"$1,398,000","$5,073",,5,3,house,,freehold nonstrata,2 storey,"forced air,natural gas","drapes/window coverings, garage door opener, garden","recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,willoughby heights,2 days,406,r2768883,rebgv,55.00 feet,55 ft x 100 ft (5500 ft²),built in 1985 (38 yrs old),100,0
203 20267 72 Avenue,"$779,900",$0,$310,2,2,apt/condo,,freehold strata,1 storey,baseboard,elevator,"exercise room, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",willoughby heights,2 days,35,r2768895,rebgv,,,built in 2024 (-1 yrs old),,0
403 8327 201 Street,"$665,000","$2,578",$500,2,2,apt/condo,,freehold strata,1 storey,"baseboard,electric","drapes/window coverings, elevator","golf course nearby, recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",willoughby heights,1 day,36,r2769374,rebgv,,,built in 2021 (2 yrs old),,0
203 19750 64 Avenue,"$498,000","$2,184",$267,1,1,apt/condo,,freehold strata,"1 storey,inside unit","baseboard,natural gas","elevator, garage door opener","exercise room, recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",willoughby heights,5 days,167,r2767707,rebgv,,,built in 1996 (27 yrs old),,0
408 5765 Glover Road,"$425,000","$1,833",$304,1,1,apt/condo,,freehold strata,"penthouse,upper unit","electric,natural gas",elevator,"recreation nearby, shopping nearby","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",langley city,14 days,744,r2765583,rebgv,,,built in 1995 (28 yrs old),,0
16 5271 204 Street,"$549,900","$1,590",$376,2,2,townhouse,,freehold strata,2 storey,"electric,forced air",,storage,in suite laundry,langley city,27 days,2891,r2762179,rebgv,,,built in 1974 (49 yrs old),,1
310 23285 Billy Brown Road,"$929,000","$3,624",$450,2,2,apt/condo,,freehold strata,"corner unit,penthouse",baseboard,"drapes/window coverings, elevator, garage door opener, smoke alarm","bike room, exercise room, golf course nearby, marina nearby, recreation nearby, shopping nearby, storage","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",fort langley,2 days,97,r2768944,rebgv,,,built in 2012 (11 yrs old),,0
9 7665 209 Street,"$949,900","$3,589",$344,4,2,townhouse,,freehold strata,2 storey w/bsmt.,"baseboard,electric",drapes/window coverings,"recreation nearby, shopping nearby","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",willoughby heights,2 days,343,r2768942,rebgv,,,built in 2018 (5 yrs old),,1
21735 48 Avenue,"$1,298,500","$4,551",,4,2,house,,freehold nonstrata,"basement entry,rancher/bungalow w/bsmt.",,,shopping nearby,,murrayville,2 days,179,r2768733,rebgv,65.94 feet,65 ft x 127 ft (9148 ft²),built in 1954 (69 yrs old),127.95,0
