1609 8333 Sweet Avenue,"$998,000",,,,,,,,,,,,,,,,,,,,,,
10911 Rosecroft Crescent,"$3,588,000","$4,875",,5,5,house,,freehold nonstrata,2 storey,radiant,"garage door opener, oven - built in, security system, smoke alarm, vacuum - built in, wet bar","air conditioning, central air conditioning, recreation nearby, shopping nearby","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",south arm,15 days,731,r2765148,rebgv,60.00 feet,60 ft x 100 ft (6000 ft²),built in 2023 (0 yrs old),100,1
3126 Regent Street,"$2,388,000","$5,553",,5,2,house,,freehold nonstrata,2 storey,"baseboard,electric","garage door opener, security system, sprinkler - inground, vacuum - built in",,"microwave, washer/dryer/fridge/stove/dishwasher",steveston village,1 day,,r2769607,rebgv,124.67 feet,124 ft x 130 ft (4990 ft²),built in 1995 (28 yrs old),130,1
8040 Rideau Place,"$3,680,000","$7,553",,5,5,house,,freehold nonstrata,2 storey,natural gas,"cul-de-sac, drapes/window coverings, fireplace insert, security system, smoke alarm, vacuum - built in","air conditioning, recreation nearby, shopping nearby","microwave, range top, refrigerator, washer/dryer/fridge/stove/dishwasher",saunders,1 day,,r2724599,rebgv,55.00 feet,55 ft x 148 ft (8100 ft²),built in 2014 (9 yrs old),148'8,1
9000 Mccutcheon Place,"$2,588,000","$5,050",,6,5,house,,freehold nonstrata,2 storey,radiant,"drapes/window coverings, oven - built in",shopping nearby,washer/dryer/fridge/stove/dishwasher,broadmoor,1 day,,r2768957,rebgv,119.70 feet,119 ft x 68 ft (8139 ft²),built in 1997 (26 yrs old),68,0
7600 Acheson Road,"$2,130,000","$5,232",,3,1,house,,freehold nonstrata,2 storey,baseboard,drapes/window coverings,"recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,brighouse south,14 days,267,r2765679,rebgv,56.00 feet,56 ft x 120 ft (6720 ft²),built in 1950 (73 yrs old),120 ft,0
9920 Seacastle Drive,"$1,628,000","$3,529",,5,3,house,,freehold nonstrata,2 storey,hot water,drapes/window coverings,"recreation nearby, shopping nearby","in suite laundry, refrigerator, stove, washer/dryer/fridge/stove/dishwasher",ironwood,16 days,1125,r2764782,rebgv,45.00 feet,45 ft x 116 ft (5232 ft²),built in 1978 (45 yrs old),116,0
202 8591 Westminster Highway,"$398,000","$1,093",$398,1,1,apt/condo,,freehold strata,"corner unit,upper unit",baseboard,"drapes/window coverings, elevator, garage door opener, smoke alarm","marina nearby, shopping nearby","disposal - waste, microwave, washer/dryer/fridge/stove/dishwasher",brighouse,1 day,,r2768761,rebgv,,,built in 1982 (41 yrs old),,0
4 9899 Steveston Highway,"$1,399,000",$0,$0,4,3,townhouse,,freehold strata,3 storey,"forced air,heat pump",,"air conditioning, recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",south arm,22 days,283,r2763268,rebgv,,,built in 2023 (0 yrs old),,1
1309 3111 Corvette Way,"$878,000","$2,534",$648,2,2,apt/condo,,freehold strata,"corner unit,upper unit","baseboard,electric","garage door opener, garden, intercom, smoke alarm, sprinkler - fire","bike room, exercise room, hot tub, marina nearby, recreation nearby, shopping nearby, storage, wheelchair access","in suite laundry, washer/dryer/fridge/stove/dishwasher",west cambie,1 day,,r2769460,rebgv,,,built in 2009 (14 yrs old),,0
5548 Hankin Drive,"$2,880,000","$6,986",,7,4,house,,freehold nonstrata,2 storey,natural gas,"drapes/window coverings, jetted bathtub, security system, vacuum - built in","recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",terra nova,22 days,1115,r2763440,rebgv,0.00 feet,0 ft x 0 ft (6843 ft²),built in 1993 (30 yrs old),irr,1
8 9188 Cook Road,"$1,198,000","$2,971",$793,3,3,townhouse,,freehold strata,"corner unit,ground level unit",baseboard,"drapes/window coverings, garage door opener, garden","bike room, exercise room, recreation nearby, shopping nearby, storage","microwave, washer/dryer/fridge/stove/dishwasher",brighouse,1 day,17,r2769303,rebgv,,,built in 2007 (16 yrs old),,0
6231 No. 6 Road,"$5,500,000","$9,537",,10,9,house,,freehold nonstrata,3 storey,"hot water,radiant",,"recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,east richmond,22 days,496,r2763275,rebgv,66.00 feet,66 ft x 331 ft (21846 ft²),built in 2021 (2 yrs old),331,1
10480 Seaham Crescent,"$1,880,000","$4,545",,4,2,house,,freehold nonstrata,2 storey,"forced air,natural gas",drapes/window coverings,"shared laundry, shopping nearby",washer/dryer/fridge/stove/dishwasher,ironwood,1 day,12,r2769122,rebgv,66.00 feet,66 ft x 114 ft (7523 ft²),built in 1965 (58 yrs old),114,0
220 9500 Tomicki Avenue,"$799,000","$2,153",$515,2,2,apt/condo,,freehold strata,1 storey,heat pump,garden,"exercise room, recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",west cambie,22 days,641,r2763151,rebgv,,,built in 2020 (3 yrs old),,0
5571 Linscott Court,"$1,899,000","$5,429",,6,2,house,,freehold nonstrata,2 storey,,cul-de-sac,"recreation nearby, shopping nearby",,granville,1 day,113,r2769430,rebgv,9.24 feet,9 ft x 39 ft (6059 ft²),built in 1986 (37 yrs old),39.997,1
5 8820 Westminster Highway,"$838,000","$2,171",$373,3,2,townhouse,,freehold strata,3 storey,"baseboard,electric","drapes/window coverings, fireplace insert","recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",brighouse,23 days,738,r2762827,rebgv,,,built in 1982 (41 yrs old),,1
12299 Buchanan Street,"$1,999,000","$4,686",,4,2,house,,freehold nonstrata,2 storey,"natural gas,radiant","cul-de-sac, garage door opener","golf course nearby, marina nearby, recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",steveston south,1 day,80,r2769418,rebgv,33.46 feet,33 ft x 98 ft (3294 ft²),built in 2004 (19 yrs old),98.42,1
