6063 W Greenside Drive,"$599,000","$2,016",$355,2,1,townhouse,,freehold strata,2 storey,"baseboard,electric,natural gas","fireplace insert, security system, vacuum - roughed in, vaulted ceiling","exercise room, recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",cloverdale,7 days,510,r2766849,rebgv,,,built in 1978 (45 yrs old),,0
419 13963 105 Boulevard,"$550,000","$1,842",$343,1,1,apt/condo,,freehold strata,1 storey,electric,"elevator, garden, smoke alarm, windows - thermo","exercise room, recreation nearby, shopping nearby, storage, wheelchair access","clothes washer/dryer, dishwasher, in suite laundry, microwave, refrigerator, stove",whalley,5 days,218,r2767498,rebgv,,,built in 2020 (3 yrs old),,0
76 158 171 Street,"$975,000","$2,823",$348,4,3,townhouse,,freehold strata,"3 storey,end unit","baseboard,electric",garden,"golf course nearby, recreation nearby, shopping nearby","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",pacific douglas,1 day,,r2768996,rebgv,,,built in 2018 (5 yrs old),,1
213 1760 Southmere Crescent,"$399,000","$1,445",$275,1,1,apt/condo,,freehold strata,inside unit,"baseboard,hot water","drapes/window coverings, elevator","recreation nearby, shared laundry, shopping nearby, storage","dishwasher, refrigerator, stove",sunnyside park,1 day,,r2769564,rebgv,,,built in 1980 (43 yrs old),,0
1501 1501 Foster Street,"$1,088,000",$0,$623,2,2,apt/condo,,freehold strata,"corner unit,upper unit","heat pump,natural gas","drapes/window coverings, elevator","bike room, central air conditioning, exercise room, recreation nearby, sauna, shopping nearby",washer/dryer/fridge/stove/dishwasher,white rock,19 days,623,r2764293,rebgv,,,built in 2022 (1 yrs old),,0
29 15353 100 Avenue,"$649,900","$2,045",$293,2,2,apt/condo,,first nations lease,"1 1/2 storey,corner unit",electric,garden,"recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",guildford,1 day,,r2768844,rebgv,,,built in 2005 (18 yrs old),,0
306 14588 Mcdougall Drive,"$849,000","$2,750",$471,3,2,apt/condo,,freehold strata,"corner unit,inside unit,upper unit",heat pump,"cul-de-sac, drapes/window coverings, elevator, garage door opener, security - roughed in, sprinkler - fire","air conditioning, exercise room, recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",king george corridor,29 days,1634,r2761604,rebgv,,,built in 2021 (2 yrs old),,0
16762 16 Avenue,"$1,479,000","$2,888",,4,4,duplex,,freehold nonstrata,2 storey w/bsmt.,forced air,,"recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,pacific douglas,1 day,,r2768658,rebgv,25.39 feet,25 ft x 109 ft (2787 ft²),built in 2023 (0 yrs old),109.55,2
521 15825 85 Avenue,"$533,000",$0,$276,2,1,apt/condo,,freehold strata,"5 plus level,upper unit","baseboard,electric","elevator, garden","exercise room, recreation nearby, shopping nearby, storage","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",fleetwood tynehead,19 days,1087,r2764253,rebgv,,,built in 2023 (0 yrs old),,0
1153 163b Street,"$1,299,000","$4,563",,3,2,house,,freehold nonstrata,rancher/bungalow,"forced air,natural gas",,,washer/dryer/fridge/stove/dishwasher,king george corridor,1 day,,r2768731,rebgv,62.76 feet,7084 ft²,built in 1986 (37 yrs old),,0
58 16685 25 Avenue,"$959,800","$2,557",$316,3,2,townhouse,,freehold strata,3 storey,"heat recovery ventilator, baseboard,electric","drapes/window coverings, garage door opener, heat recovery ventilator, pantry, security - roughed in","recreation nearby, shopping nearby","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",grandview,19 days,820,r2764176,rebgv,,,built in 2020 (3 yrs old),,1
9461 163 Street,"$1,899,900","$6,000",,5,3,house,,freehold nonstrata,2 storey,,,,,fleetwood tynehead,19 days,783,r2764186,rebgv,53.72 feet,53 ft x 133 ft (7190 ft²),built in 1998 (25 yrs old),133.85,1
8 15828 27 Avenue,"$799,900","$2,618",$250,2,2,townhouse,,freehold strata,3 storey,baseboard,,,"in suite laundry, washer/dryer/fridge/stove/dishwasher",grandview,1 day,,r2769462,rebgv,,,built in 2019 (4 yrs old),,0
222 13782 108th Avenue,"$400,000",,,1,1,apt/condo,,strata,,,,,,whalley,19 days,464,r2764182,canadian real estate association,,,built in 2023 (0 yrs old),,
307 9299 121 Avenue,"$474,800","$1,785",$507,2,1,apt/condo,,freehold strata,upper unit,"baseboard,electric","cul-de-sac, elevator","bike room, recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",queen mary park,1 day,49,r2768556,rebgv,,,built in 1990 (33 yrs old),,0
13191 15a Avenue,"$1,699,900","$5,165",,5,2,house,,freehold nonstrata,basement entry,,,,,crescent beach,19 days,527,r2764114,rebgv,61.00 feet,61 ft x 130 ft (7904 ft²),built in 1978 (45 yrs old),130,1
402 14225 103a Avenue,"$589,000",$0,$0,2,2,apt/condo,,freehold strata,upper unit,electric,elevator,"bike room, recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",whalley,19 days,324,r2763969,rebgv,,,built in 2023 (0 yrs old),,0
69 13898 64 Avenue,"$950,000","$3,086",,4,3,townhouse,,freehold nonstrata,3 storey,"baseboard,electric",,"recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,sullivan station,1 day,35,r2769466,rebgv,,,built in 2021 (2 yrs old),,1
83 158 171 Street,"$880,000","$2,540",$292,3,2,townhouse,,freehold strata,3 storey,"baseboard,electric",garage door opener,,"in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",pacific douglas,1 day,43,r2768414,rebgv,,,built in 2018 (5 yrs old),,1
47 8355 164 Street,"$799,000",,,2,3,townhouse,,strata,,baseboard heaters,,,,fleetwood tynehead,19 days,774,r2763723,canadian real estate association,,,,,
308 9644 134 Street,"$499,900","$1,680",$374,2,1,apt/condo,,freehold strata,upper unit,electric,"elevator, garage door opener","recreation nearby, shopping nearby","in suite laundry, washer/dryer/fridge/stove/dishwasher",whalley,1 day,32,r2769124,rebgv,,,built in 1985 (38 yrs old),,0
302 1322 Martin Street,"$429,900","$2,006",$520,2,1,apt/condo,,freehold strata,"corner unit,upper unit","baseboard,hot water","drapes/window coverings, elevator, fireplace insert","marina nearby, recreation nearby, shopping nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",white rock,1 day,158,r2769397,rebgv,,,built in 1973 (50 yrs old),,0
1 16760 25 Avenue,"$1,089,000","$3,154",$377,4,3,townhouse,,freehold strata,3 storey,"baseboard,electric",garage door opener,"golf course nearby, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,grandview,19 days,525,r2764166,rebgv,,,built in 2018 (5 yrs old),,1
15689 106a Avenue,"$2,599,999","$7,479",,7,6,house,,freehold nonstrata,"2 storey w/bsmt.,3 storey",radiant,drapes/window coverings,"air conditioning, recreation nearby",washer/dryer/fridge/stove/dishwasher,fraser heights,1 day,64,r2768542,rebgv,50.00 feet,50 ft x 148 ft (7098 ft²),built in 2020 (3 yrs old),148,1
502 15445 Vine Avenue,"$1,279,000","$3,619",$617,2,2,apt/condo,,freehold strata,1 storey,"heat pump,natural gas","drapes/window coverings, elevator, garage door opener, security system, vacuum - roughed in, water treatment","air conditioning, recreation nearby, shopping nearby, storage","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",white rock,19 days,309,r2764251,rebgv,,,built in 2005 (18 yrs old),,0
10540 127 Street,"$1,999,000","$7,039",,8,7,house,,freehold nonstrata,2 storey w/bsmt.,"baseboard,forced air,natural gas","drapes/window coverings, garage door opener, garden, jetted bathtub, security system, vacuum - built in, vaulted ceiling, windows - thermo","central air conditioning, shopping nearby, storage","clothes washer/dryer, in suite laundry, microwave, range top",cedar hills,1 day,150,r2769317,rebgv,63.00 feet,7191 ft²,built in 2011 (12 yrs old),,2
13058 107a Avenue,"$1,790,000","$4,533",,6,4,house,,freehold nonstrata,2 storey,,,,,whalley,20 days,61,r2763667,rebgv,66.00 feet,9133 ft²,,,0
12079 57a Avenue,"$1,688,880","$5,111",,3,2,house,,freehold nonstrata,rancher/bungalow,natural gas,,,washer/dryer/fridge/stove/dishwasher,panorama ridge,1 day,75,r2769265,rebgv,98.43 feet,98 ft x 190 ft (18730 ft²),built in 1983 (40 yrs old),190,1
97 3500 144 Street,"$1,469,000","$4,496",$478,4,3,townhouse,,freehold strata,2 storey w/bsmt.,"forced air,natural gas",,"golf course nearby, marina nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,elgin chantrell,20 days,1281,r2763520,rebgv,,,built in 2002 (21 yrs old),,1
214 10477 154 Street,"$429,900","$1,590",$226,1,1,apt/condo,,freehold strata,1 storey,"baseboard,electric","drapes/window coverings, elevator, garage door opener, garden, intercom, smoke alarm","exercise room, recreation nearby, shopping nearby, storage","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",guildford,1 day,71,r2769335,rebgv,,,built in 2014 (9 yrs old),,0
8274 148b Street,"$1,750,000","$5,118",,4,2,house,,freehold nonstrata,2 storey,"forced air,natural gas,wood","drapes/window coverings, garage door opener, smoke alarm, vaulted ceiling","golf course nearby, independent living, shopping nearby","in suite laundry, microwave, washer/dryer/fridge/stove/dishwasher",bear creek green timbers,20 days,775,r2762754,rebgv,89.11 feet,89 ft x 91 ft (8150 ft²),built in 1990 (33 yrs old),91.86,1
2335 129b Street,"$2,100,000","$5,892",,3,2,house,,freehold nonstrata,rancher/bungalow,"forced air,natural gas","garage door opener, garden, jetted bathtub, smoke alarm, vacuum - built in, windows - thermo","recreation nearby, shopping nearby, storage, wheelchair access","disposal - waste, free standing fireplace or woodstove, washer/dryer/fridge/stove/dishwasher",elgin chantrell,1 day,140,r2768408,rebgv,85.00 feet,85 ft x 141 ft (12022 ft²),built in 1985 (38 yrs old),141,1
