5132 Alderfeild Place,"$4,398,000","$10,566",,4,3,house,,freehold nonstrata,2 storey,"baseboard,forced air","cul-de-sac, drapes/window coverings, garage door opener, pantry, security system, smoke alarm, storage shed, vacuum - built in","golf course nearby, marina nearby, shopping nearby","microwave, washer/dryer/fridge/stove/dishwasher",caulfeild,16 days,1090,r2764786,rebgv,73.00 feet,73 ft x 175 ft (10365 ft²),built in 1980 (43 yrs old),175,0
1860 Queens Avenue,"$3,250,000","$8,691",,6,2,house,,freehold nonstrata,3 storey,"forced air,natural gas","oven - built in, security system, storage shed","recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,ambleside,8 days,522,r2767277,rebgv,91.00 feet,91 ft x 132 ft (12012 ft²),built in 1964 (59 yrs old),132,2
4702 Willow Place,"$2,650,000","$6,475",,4,3,house,,freehold nonstrata,2 storey,forced air,,,washer/dryer/fridge/stove/dishwasher,caulfeild,1 day,,r2769513,rebgv,83.00 feet,83 ft x 160 ft (12367 ft²),built in 1973 (50 yrs old),160.00,0
5445 Westhaven Wynd,"$2,625,000","$5,281",,4,2,house,,freehold nonstrata,2 storey w/bsmt.,"forced air,natural gas",cul-de-sac,"golf course nearby, marina nearby, recreation nearby, shopping nearby",washer/dryer/fridge/stove/dishwasher,eagle harbour,1 day,,r2769488,rebgv,62.00 feet,62 ft x 100 ft (6486 ft²),built in 1978 (45 yrs old),100x53x102,1
1116 Millstream Road,"$10,980,000","$55,627",,6,7,house,,freehold nonstrata,4 level split,"natural gas,radiant","elevator, wet bar","air conditioning, central air conditioning, golf course nearby, recreation nearby, shopping nearby, swimming pool equipment",washer/dryer/fridge/stove/dishwasher,british properties,1 day,33,r2769433,rebgv,120.00 feet,120 ft x 190 ft (24787 ft²),built in 2016 (7 yrs old),190,1
57 Glenmore Drive,"$2,398,900","$5,189",,6,3,house,,freehold nonstrata,2 storey,forced air,,"golf course nearby, storage","in suite laundry, washer/dryer/fridge/stove/dishwasher",glenmore,1 day,1044,r2769598,rebgv,70.00 feet,70 ft x 159 ft (13014 ft²),built in 1964 (59 yrs old),159,0
6850 Hycroft Road,"$3,598,000","$5,494",,3,3,house,,freehold nonstrata,4 level split,forced air,fireplace insert,"golf course nearby, green house, marina nearby, workshop attached","in suite laundry, washer/dryer/fridge/stove/dishwasher",whytecliff,2 days,84,r2769369,rebgv,160.00 feet,160 ft x 142 ft (13592 ft²),built in 1967 (56 yrs old),142 irr,0
2336 Kadlec Court,"$6,880,000","$21,138",,7,6,house,,freehold nonstrata,3 storey,hot water,,,washer/dryer/fridge/stove/dishwasher,whitby estates,2 days,23,r2769099,rebgv,90.00 feet,90 ft x 142 ft (11924 ft²),built in 2008 (15 yrs old),142.39,1
166 28th Street,"$19,680,000","$79,435",,6,8,house,,freehold nonstrata,2 storey w/bsmt.,"heat recovery ventilator, natural gas,radiant","drapes/window coverings, elevator, heat recovery ventilator, intercom, security system, smoke alarm, sprinkler - fire, water treatment","air conditioning, central air conditioning, hot tub, recreation nearby, shopping nearby, storage, swimming pool equipment","in suite laundry, washer/dryer/fridge/stove/dishwasher",altamont,2 days,68,r2769087,rebgv,76.60 feet,76 ft x 167 ft (12309 ft²),built in 2015 (8 yrs old),167,0
3140 Mathers Avenue,"$5,998,000","$22,512",,6,6,house,,freehold nonstrata,2 storey w/bsmt.,"natural gas,radiant",drapes/window coverings,,washer/dryer/fridge/stove/dishwasher,westmount west,2 days,87,r2769031,rebgv,142.00 feet,142 ft x 108 ft (17509 ft²),built in 2007 (16 yrs old),108,1
649 Andover Place,"$6,186,000","$18,635",,6,7,house,,freehold nonstrata,2 storey w/bsmt.,"natural gas,radiant","cul-de-sac, fireplace insert, hot tub spa/swirlpool, security system",hot tub,washer/dryer/fridge/stove/dishwasher,british properties,2 days,79,r2768943,rebgv,0.00 feet,21018 ft²,built in 2014 (9 yrs old),,1
